"DateTime";"Sol"
"2017-11-01 00:00:00";0,1
"2017-11-02 00:00:00";2,2
"2017-11-03 00:00:00";0,7
"2017-11-04 00:00:00";0,4
"2017-11-05 00:00:00";1,1
"2017-11-06 00:00:00";6,4
"2017-11-07 00:00:00";6,3
"2017-11-08 00:00:00";2,8
"2017-11-09 00:00:00";0,2
"2017-11-10 00:00:00";1
"2017-11-11 00:00:00";4,5
"2017-11-12 00:00:00";1,8
"2017-11-13 00:00:00";5,2
"2017-11-14 00:00:00";1,6
"2017-11-15 00:00:00";3,7
"2017-11-16 00:00:00";0,1
"2017-11-17 00:00:00";5,1
"2017-11-18 00:00:00";2,3
"2017-11-19 00:00:00";3,7
"2017-11-20 00:00:00";3
"2017-11-21 00:00:00";0,8
"2017-11-22 00:00:00";0,1
"2017-11-23 00:00:00";0,4
"2017-11-24 00:00:00";1
"2017-11-25 00:00:00";2,6
"2017-11-26 00:00:00";2
"2017-11-27 00:00:00";0,2
"2017-11-28 00:00:00";0,8
"2017-11-29 00:00:00";1,7
"2017-11-30 00:00:00";2,3
