"DateTime";"Sol"
"2016-03-01 00:00:00";0,1
"2016-03-02 00:00:00";0,1
"2016-03-03 00:00:00";2,5
"2016-03-04 00:00:00";1,2
"2016-03-05 00:00:00";0
"2016-03-06 00:00:00";0,1
"2016-03-07 00:00:00";1,1
"2016-03-08 00:00:00";1
"2016-03-09 00:00:00";4,9
"2016-03-10 00:00:00";2,1
"2016-03-11 00:00:00";2,8
"2016-03-12 00:00:00";2,9
"2016-03-13 00:00:00";2,2
"2016-03-14 00:00:00";2,3
"2016-03-15 00:00:00";5,3
"2016-03-16 00:00:00";9,5
"2016-03-17 00:00:00";4,1
"2016-03-18 00:00:00";6
"2016-03-19 00:00:00";5,4
"2016-03-20 00:00:00";7,9
"2016-03-21 00:00:00";3,7
"2016-03-22 00:00:00";4,3
"2016-03-23 00:00:00";8,4
"2016-03-24 00:00:00";4,8
"2016-03-25 00:00:00";1,5
"2016-03-26 00:00:00";7,9
"2016-03-27 00:00:00";2,2
"2016-03-28 00:00:00";4,1
"2016-03-29 00:00:00";5,1
"2016-03-30 00:00:00";1,4
"2016-03-31 00:00:00";8
