"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2019-06-01 00:00:00";5,5;15,4;23,5
"2019-06-02 00:00:00";3,8;12,5;17,5
"2019-06-03 00:00:00";4;14,5;18,6
"2019-06-04 00:00:00";2,6;10,3;14,6
"2019-06-05 00:00:00";4,1;15,1;20,8
"2019-06-06 00:00:00";4,9;12,5;16,3
"2019-06-07 00:00:00";3;11;13,1
"2019-06-08 00:00:00";6,1;18,7;23,4
"2019-06-09 00:00:00";6;19,3;23,3
"2019-06-10 00:00:00";3,3;12,1;14,9
"2019-06-11 00:00:00";4,4;14,7;18
"2019-06-12 00:00:00";4,1;16,8;20,5
"2019-06-13 00:00:00";4,2;13,7;19
"2019-06-14 00:00:00";3,6;16,9;20,2
"2019-06-15 00:00:00";3,9;17,6;21,2
"2019-06-16 00:00:00";4,5;12,6;14,6
"2019-06-17 00:00:00";3,5;12,5;14,7
"2019-06-18 00:00:00";3,3;12,8;17,1
"2019-06-19 00:00:00";3;15,6;23,2
"2019-06-20 00:00:00";3,6;14,1;16,9
"2019-06-21 00:00:00";4;15,1;19,5
"2019-06-22 00:00:00";2,9;12,6;16,1
"2019-06-23 00:00:00";2,5;7,8;9,9
"2019-06-24 00:00:00";3,8;10,5;13
"2019-06-25 00:00:00";3,8;11,6;14,4
"2019-06-26 00:00:00";4,9;16,6;20,9
"2019-06-27 00:00:00";6,4;17,7;22
"2019-06-28 00:00:00";3,8;10,7;12,4
"2019-06-29 00:00:00";4,2;12,9;17,8
"2019-06-30 00:00:00";5,3;16,6;21,5
