"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2017-12-01 00:00:00";2,8;13,5;16,6
"2017-12-02 00:00:00";4,4;16,4;19
"2017-12-03 00:00:00";5,4;15,6;23,2
"2017-12-04 00:00:00";4,4;15,3;21,2
"2017-12-05 00:00:00";8,1;17,7;23,9
"2017-12-06 00:00:00";8,7;16,9;21,2
"2017-12-07 00:00:00";9,7;20,4;27,4
"2017-12-08 00:00:00";7,4;20,1;28,8
"2017-12-09 00:00:00";7,1;18,3;24
"2017-12-10 00:00:00";4,5;17,1;20,4
"2017-12-11 00:00:00";3,4;17,3;21,1
"2017-12-12 00:00:00";5;17,5;23,3
"2017-12-13 00:00:00";7,4;19,9;23,7
"2017-12-14 00:00:00";4,9;19,9;25,7
"2017-12-15 00:00:00";2,9;14,8;18,2
"2017-12-16 00:00:00";2,9;12,4;14,6
"2017-12-17 00:00:00";3,1;12,8;16,5
"2017-12-18 00:00:00";4,2;12,8;17
"2017-12-19 00:00:00";2;9;10,8
"2017-12-20 00:00:00";4;11;14,8
"2017-12-21 00:00:00";4,9;13,7;18
"2017-12-22 00:00:00";5,3;15,4;19,6
"2017-12-23 00:00:00";10,2;21,9;28,6
"2017-12-24 00:00:00";8,8;20,6;25,4
"2017-12-25 00:00:00";8,5;17,8;21,9
"2017-12-26 00:00:00";8,9;26,1;33,9
"2017-12-27 00:00:00";4,4;15,4;21
"2017-12-28 00:00:00";3,7;13,8;16,9
"2017-12-29 00:00:00";4,8;15,3;21,4
"2017-12-30 00:00:00";4;14,6;17
"2017-12-31 00:00:00";4,4;15,6;18,4
