"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2015-05-01 00:00:00";2,4;10,9;12,5
"2015-05-02 00:00:00";3,8;11,9;15,4
"2015-05-03 00:00:00";4,8;17,1;20
"2015-05-04 00:00:00";5,3;16,6;20
"2015-05-05 00:00:00";6;18,8;25,5
"2015-05-06 00:00:00";5,9;18,7;22,6
"2015-05-07 00:00:00";7,4;19,6;22,8
"2015-05-08 00:00:00";3,5;14,4;18,3
"2015-05-09 00:00:00";5,3;16,4;20,6
"2015-05-10 00:00:00";6,2;16,2;21,6
"2015-05-11 00:00:00";5,7;16,2;20,2
"2015-05-12 00:00:00";5;18,5;23,9
"2015-05-13 00:00:00";7,9;16,6;20,1
"2015-05-14 00:00:00";3,9;11,6;14,7
"2015-05-15 00:00:00";3,2;10,9;12,9
"2015-05-16 00:00:00";5,9;17,5;21,9
"2015-05-17 00:00:00";7,7;17,3;24
"2015-05-18 00:00:00";4,7;15,1;19,6
"2015-05-19 00:00:00";5,7;17,6;22
"2015-05-20 00:00:00";3,9;12,9;16,1
"2015-05-21 00:00:00";3,6;11,6;13,2
"2015-05-22 00:00:00";5,4;16,3;21
"2015-05-23 00:00:00";5,5;14,8;18
"2015-05-24 00:00:00";4,6;14,2;16,2
"2015-05-25 00:00:00";4;11,8;14,2
"2015-05-26 00:00:00";5,8;14;18,8
"2015-05-27 00:00:00";6;13,7;17,3
"2015-05-28 00:00:00";6,1;15,3;20,4
"2015-05-29 00:00:00";4,8;18;22,2
"2015-05-30 00:00:00";7;18,1;21,8
"2015-05-31 00:00:00";6,5;17,8;22,6
