"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2017-02-01 00:00:00";4,8;13,1;15,2
"2017-02-02 00:00:00";5,6;14,1;16,5
"2017-02-03 00:00:00";5,6;12,7;15,6
"2017-02-04 00:00:00";4,4;12,3;14,4
"2017-02-05 00:00:00";5;12,6;15,2
"2017-02-06 00:00:00";5,8;15,1;18,3
"2017-02-07 00:00:00";7,5;15,5;18,2
"2017-02-08 00:00:00";7;14,3;18,1
"2017-02-09 00:00:00";4,3;14,7;20,7
"2017-02-10 00:00:00";6,1;14,9;17,1
"2017-02-11 00:00:00";7,7;16,8;20,5
"2017-02-12 00:00:00";6,2;14,9;17,5
"2017-02-13 00:00:00";2,8;8,6;10,7
"2017-02-14 00:00:00";2,4;9,1;10,9
"2017-02-15 00:00:00";2;9,7;11,6
"2017-02-16 00:00:00";4,7;13,7;17,5
"2017-02-17 00:00:00";3,3;9,4;12
"2017-02-18 00:00:00";5,1;13,7;17,9
"2017-02-19 00:00:00";6,3;15,4;20,7
"2017-02-20 00:00:00";8,9;17,2;23,1
"2017-02-21 00:00:00";8,7;18,2;23,3
"2017-02-22 00:00:00";11;22,9;29,4
"2017-02-23 00:00:00";6,2;20,9;25,8
"2017-02-24 00:00:00";5,3;19,4;23,4
"2017-02-25 00:00:00";5,8;16,7;20,7
"2017-02-26 00:00:00";5,8;15,4;20,4
"2017-02-27 00:00:00";6,1;14,6;19
"2017-02-28 00:00:00";8;20,1;25,2
