"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2015-10-01 00:00:00";5;15,4;18,9
"2015-10-02 00:00:00";4,9;15,3;19,8
"2015-10-03 00:00:00";2,1;10,3;12,1
"2015-10-04 00:00:00";1,3;7,8;9,1
"2015-10-05 00:00:00";2,7;12,3;14,7
"2015-10-06 00:00:00";8,9;19,6;24
"2015-10-07 00:00:00";8,8;18,1;21,8
"2015-10-08 00:00:00";5,8;15,2;17,9
"2015-10-09 00:00:00";4,1;12,3;14,7
"2015-10-10 00:00:00";3,8;13,6;17,4
"2015-10-11 00:00:00";3,7;12,7;15,4
"2015-10-12 00:00:00";3,9;13,4;15,9
"2015-10-13 00:00:00";4,3;15,1;17,5
"2015-10-14 00:00:00";5;14,6;17,9
"2015-10-15 00:00:00";5,5;15,2;19,3
"2015-10-16 00:00:00";4,8;12,4;15,3
"2015-10-17 00:00:00";3,4;10,2;12,4
"2015-10-18 00:00:00";3;10,8;12,7
"2015-10-19 00:00:00";1,6;8,1;10
"2015-10-20 00:00:00";1,7;9;11,8
"2015-10-21 00:00:00";4,2;14;17,5
"2015-10-22 00:00:00";6,7;22;28,8
"2015-10-23 00:00:00";6,7;22,6;28,7
"2015-10-24 00:00:00";4,6;14,5;18
"2015-10-25 00:00:00";4,9;16;20,6
"2015-10-26 00:00:00";2,4;9,8;11,6
"2015-10-27 00:00:00";3,8;12,3;14,6
"2015-10-28 00:00:00";6,2;14,7;17,1
"2015-10-29 00:00:00";3,3;11,7;14
"2015-10-30 00:00:00";3,5;12;14,5
"2015-10-31 00:00:00";4,1;14,5;17,9
