"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2016-03-01 00:00:00";5,7;18,4;21,6
"2016-03-02 00:00:00";4,9;17,6;21
"2016-03-03 00:00:00";3,3;12;14,2
"2016-03-04 00:00:00";3,7;13,3;15,5
"2016-03-05 00:00:00";5,5;14;16,6
"2016-03-06 00:00:00";2,6;12,4;14,1
"2016-03-07 00:00:00";2,9;10,5;13,5
"2016-03-08 00:00:00";2,4;8,3;11,2
"2016-03-09 00:00:00";4;11,2;13,6
"2016-03-10 00:00:00";3,2;9,8;11,9
"2016-03-11 00:00:00";1,9;9,1;12,4
"2016-03-12 00:00:00";1,9;7,3;9,3
"2016-03-13 00:00:00";2,4;10,2;12,9
"2016-03-14 00:00:00";2,7;8,5;14,7
"2016-03-15 00:00:00";3,1;9,2;13,4
"2016-03-16 00:00:00";2,1;10,6;12,1
"2016-03-17 00:00:00";4,3;10,8;12,6
"2016-03-18 00:00:00";2,6;9,7;12,9
"2016-03-19 00:00:00";3,9;16,3;22,8
"2016-03-20 00:00:00";5;13,5;17,6
"2016-03-21 00:00:00";6,3;13,9;17,3
"2016-03-22 00:00:00";4,2;12,8;15,2
"2016-03-23 00:00:00";4,1;12,9;16
"2016-03-24 00:00:00";3,1;10,2;12,4
"2016-03-25 00:00:00";4,2;10,5;14,4
"2016-03-26 00:00:00";5,2;14,7;18,3
"2016-03-27 00:00:00";6;15,9;21,2
"2016-03-28 00:00:00";7,5;19,4;28
"2016-03-29 00:00:00";6,2;18,9;24,4
"2016-03-30 00:00:00";4,1;15,3;19,6
"2016-03-31 00:00:00";5,1;12,4;16,8
