"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2017-01-01 00:00:00";4,9;16;20,1
"2017-01-02 00:00:00";3,4;16;21,7
"2017-01-03 00:00:00";7,8;21,8;30,2
"2017-01-04 00:00:00";8,7;24,5;37,5
"2017-01-05 00:00:00";4,2;16,5;21
"2017-01-06 00:00:00";4,1;20,6;26,1
"2017-01-07 00:00:00";5,1;16,2;19,7
"2017-01-08 00:00:00";2,7;10,9;13,7
"2017-01-09 00:00:00";5,1;16,2;19,9
"2017-01-10 00:00:00";6,4;16,6;19,9
"2017-01-11 00:00:00";9,5;24,5;31,1
"2017-01-12 00:00:00";8,2;22,8;32,1
"2017-01-13 00:00:00";2,6;14,4;17,1
"2017-01-14 00:00:00";4,8;16,6;21,7
"2017-01-15 00:00:00";3,1;14,5;17,8
"2017-01-16 00:00:00";2,3;11,8;13,7
"2017-01-17 00:00:00";2,8;11,6;15,4
"2017-01-18 00:00:00";5,6;15;17,8
"2017-01-19 00:00:00";5,1;14,1;18
"2017-01-20 00:00:00";5;13;17,3
"2017-01-21 00:00:00";2,5;8,8;10,9
"2017-01-22 00:00:00";2,3;9,6;12,4
"2017-01-23 00:00:00";3,1;10,1;15,5
"2017-01-24 00:00:00";3,2;9,7;11,9
"2017-01-25 00:00:00";4,5;11,4;14,3
"2017-01-26 00:00:00";3,6;10,3;12,5
"2017-01-27 00:00:00";4,1;12,6;15,7
"2017-01-28 00:00:00";3,5;11,3;13,6
"2017-01-29 00:00:00";4,2;11,4;13,5
"2017-01-30 00:00:00";3,6;13,2;15,8
"2017-01-31 00:00:00";4,6;12,8;15,5
