"DateTime";"Sol"
"2018-05-01 00:00:00";0,7
"2018-05-02 00:00:00";10,6
"2018-05-03 00:00:00";8,9
"2018-05-04 00:00:00";10,4
"2018-05-05 00:00:00";13,4
"2018-05-06 00:00:00";14,4
"2018-05-07 00:00:00";14,6
"2018-05-08 00:00:00";14,4
"2018-05-09 00:00:00";14,6
"2018-05-10 00:00:00";6,7
"2018-05-11 00:00:00";11,6
"2018-05-12 00:00:00";8,1
"2018-05-13 00:00:00";13,3
"2018-05-14 00:00:00";14,7
"2018-05-15 00:00:00";13,4
"2018-05-16 00:00:00";11,8
"2018-05-17 00:00:00";13,2
"2018-05-18 00:00:00";9,3
"2018-05-19 00:00:00";11
"2018-05-20 00:00:00";14,6
"2018-05-21 00:00:00";11,1
"2018-05-22 00:00:00";13,7
"2018-05-23 00:00:00";14,8
"2018-05-24 00:00:00";15,3
"2018-05-25 00:00:00";14,5
"2018-05-26 00:00:00";12,4
"2018-05-27 00:00:00";5,7
"2018-05-28 00:00:00";7,6
"2018-05-29 00:00:00";9,7
"2018-05-30 00:00:00";15,5
"2018-05-31 00:00:00";13,3
