"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2015-03-01 00:00:00";8;20,1;25,3
"2015-03-02 00:00:00";6;16,3;22,8
"2015-03-03 00:00:00";5,7;16,6;21,5
"2015-03-04 00:00:00";4;13,7;21,4
"2015-03-05 00:00:00";4,4;11,7;15,9
"2015-03-06 00:00:00";5,5;12,9;16,1
"2015-03-07 00:00:00";7,8;14;20,3
"2015-03-08 00:00:00";6,6;13,4;18,4
"2015-03-09 00:00:00";3,9;12,9;16
"2015-03-10 00:00:00";7,3;16,7;23,5
"2015-03-11 00:00:00";4,5;15,4;21,8
"2015-03-12 00:00:00";2,3;9,8;13,2
"2015-03-13 00:00:00";4,1;13,9;18
"2015-03-14 00:00:00";5,1;12,7;15,7
"2015-03-15 00:00:00";5,8;12,8;16,8
"2015-03-16 00:00:00";6,8;14,3;18,2
"2015-03-17 00:00:00";5,4;11,3;13,9
"2015-03-18 00:00:00";4,1;10,8;14,5
"2015-03-19 00:00:00";2,2;8,5;10,3
"2015-03-20 00:00:00";4,3;10,6;14,2
"2015-03-21 00:00:00";5,9;18,3;23,7
"2015-03-22 00:00:00";3,7;13,4;16,4
"2015-03-23 00:00:00";6,2;15,4;18,7
"2015-03-24 00:00:00";2,4;9,8;11,4
"2015-03-25 00:00:00";4,8;15,4;20,5
"2015-03-26 00:00:00";4,1;15,5;19,7
"2015-03-27 00:00:00";2,4;10;12,4
"2015-03-28 00:00:00";5,5;19,1;23,2
"2015-03-29 00:00:00";5,1;17,6;21,5
"2015-03-30 00:00:00";8,2;18,7;25,7
"2015-03-31 00:00:00";5,8;20,1;26,5
