"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2016-12-01 00:00:00";9;18,7;24
"2016-12-02 00:00:00";3,7;17,2;22,3
"2016-12-03 00:00:00";2,6;11,6;14,4
"2016-12-04 00:00:00";3,8;14,4;16,7
"2016-12-05 00:00:00";5,6;16;19,2
"2016-12-06 00:00:00";2,3;10,9;13,4
"2016-12-07 00:00:00";6,2;15,2;21,8
"2016-12-08 00:00:00";7,4;17,7;23,7
"2016-12-09 00:00:00";6,2;15,4;19,1
"2016-12-10 00:00:00";6,1;14,7;18
"2016-12-11 00:00:00";5,1;13,6;17,5
"2016-12-12 00:00:00";3,4;12,8;17,1
"2016-12-13 00:00:00";3,1;11,8;14,1
"2016-12-14 00:00:00";2;10,6;11,9
"2016-12-15 00:00:00";3,7;11,9;14,4
"2016-12-16 00:00:00";2,9;11,4;14
"2016-12-17 00:00:00";3,4;13,2;16,7
"2016-12-18 00:00:00";2,7;11,5;14,4
"2016-12-19 00:00:00";3,1;11,1;13,5
"2016-12-20 00:00:00";4;13,4;16,6
"2016-12-21 00:00:00";6,7;15,6;19,5
"2016-12-22 00:00:00";5,7;15,3;20,3
"2016-12-23 00:00:00";7;18,9;26,1
"2016-12-24 00:00:00";8,4;21,8;32,8
"2016-12-25 00:00:00";7,5;17,1;23,7
"2016-12-26 00:00:00";10,9;29,4;37,8
"2016-12-27 00:00:00";9,7;26;34,2
"2016-12-28 00:00:00";4,1;12,4;15,1
"2016-12-29 00:00:00";5,6;14,7;17,8
"2016-12-30 00:00:00";6,3;14,7;18,2
"2016-12-31 00:00:00";8,2;15,9;20,8
