"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2018-06-01 00:00:00";3,4;10,7;12,9
"2018-06-02 00:00:00";2;7,8;9,6
"2018-06-03 00:00:00";4,1;12,3;15,3
"2018-06-04 00:00:00";5,3;12,4;15,5
"2018-06-05 00:00:00";3,5;13,1;17,8
"2018-06-06 00:00:00";3,1;9,6;11,3
"2018-06-07 00:00:00";3,1;8,8;10,7
"2018-06-08 00:00:00";2,1;7,4;10,1
"2018-06-09 00:00:00";2,2;7,2;9,8
"2018-06-10 00:00:00";2,6;11,2;13,8
"2018-06-11 00:00:00";6,8;18,9;23
"2018-06-12 00:00:00";4,8;13,8;16,2
"2018-06-13 00:00:00";5,7;15,4;19,8
"2018-06-14 00:00:00";6,1;18,8;27
"2018-06-15 00:00:00";3,9;13,5;16,5
"2018-06-16 00:00:00";2,7;12,4;15,2
"2018-06-17 00:00:00";4,9;16,8;20,2
"2018-06-18 00:00:00";5,1;14,5;17,6
"2018-06-19 00:00:00";6,5;16,2;22,2
"2018-06-20 00:00:00";6;17,1;22
"2018-06-21 00:00:00";7,2;18;22,4
"2018-06-22 00:00:00";6,9;21;25,4
"2018-06-23 00:00:00";6,8;17,7;22,7
"2018-06-24 00:00:00";4,2;14,2;18,2
"2018-06-25 00:00:00";3,8;12,2;15,7
"2018-06-26 00:00:00";2,5;10,5;13,6
"2018-06-27 00:00:00";2,2;7,9;10,2
"2018-06-28 00:00:00";2,7;11,5;16,4
"2018-06-29 00:00:00";4,4;13,6;16,5
"2018-06-30 00:00:00";3,1;10,8;12,9
