"DateTime";"Sol"
"2017-06-01 00:00:00";14,4
"2017-06-02 00:00:00";9,2
"2017-06-03 00:00:00";4,8
"2017-06-04 00:00:00";3
"2017-06-05 00:00:00";8,2
"2017-06-06 00:00:00";10,2
"2017-06-07 00:00:00";0,6
"2017-06-08 00:00:00";3,8
"2017-06-09 00:00:00";2,3
"2017-06-10 00:00:00";9,5
"2017-06-11 00:00:00";3,3
"2017-06-12 00:00:00";3,3
"2017-06-13 00:00:00";5,1
"2017-06-14 00:00:00";9,5
"2017-06-15 00:00:00";7,2
"2017-06-16 00:00:00";7,1
"2017-06-17 00:00:00";14,5
"2017-06-18 00:00:00";12,7
"2017-06-19 00:00:00";11,7
"2017-06-20 00:00:00";11,8
"2017-06-21 00:00:00";7,2
"2017-06-22 00:00:00";3,7
"2017-06-23 00:00:00";0,7
"2017-06-24 00:00:00";3,3
"2017-06-25 00:00:00";6,1
"2017-06-26 00:00:00";8,6
"2017-06-27 00:00:00";9,8
"2017-06-28 00:00:00";4
"2017-06-29 00:00:00";0
"2017-06-30 00:00:00";0,1
