"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2018-09-01 00:00:00";2,2;9,7;11,1
"2018-09-02 00:00:00";2,1;8,4;10,7
"2018-09-03 00:00:00";3,5;10;12,8
"2018-09-04 00:00:00";2,2;7,9;9,9
"2018-09-05 00:00:00";1,6;7,4;9,5
"2018-09-06 00:00:00";4,1;14,5;17
"2018-09-07 00:00:00";4,5;16,7;21,8
"2018-09-08 00:00:00";5,6;18,1;22,1
"2018-09-09 00:00:00";4,8;14,8;18,2
"2018-09-10 00:00:00";4,7;14,8;18,8
"2018-09-11 00:00:00";6;18,2;22,7
"2018-09-12 00:00:00";6;18;25
"2018-09-13 00:00:00";4;13,7;17,9
"2018-09-14 00:00:00";4,7;15,1;18,4
"2018-09-15 00:00:00";4,4;13,8;17,7
"2018-09-16 00:00:00";4,6;15,1;19,5
"2018-09-17 00:00:00";4;15,5;18,8
"2018-09-18 00:00:00";5;15,2;20,4
"2018-09-19 00:00:00";5,9;18,8;25,8
"2018-09-20 00:00:00";4,9;16,7;22,4
"2018-09-21 00:00:00";8,7;26,5;34,6
"2018-09-22 00:00:00";8,2;22,6;28,8
"2018-09-23 00:00:00";6;17,8;22,4
"2018-09-24 00:00:00";7,2;18,2;25,3
"2018-09-25 00:00:00";4,3;16,9;22,3
"2018-09-26 00:00:00";9;21,1;27,1
"2018-09-27 00:00:00";7,4;18,6;23,9
"2018-09-28 00:00:00";6,6;18,6;22,6
"2018-09-29 00:00:00";4,9;17,2;21,8
"2018-09-30 00:00:00";5,3;16,6;20,2
