"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2015-12-01 00:00:00";5,6;20,1;24,5
"2015-12-02 00:00:00";5,6;12,8;15,4
"2015-12-03 00:00:00";4,9;13,6;16,6
"2015-12-04 00:00:00";9,5;27,1;34,5
"2015-12-05 00:00:00";12,2;22,1;27,4
"2015-12-06 00:00:00";11,5;21,3;29,2
"2015-12-07 00:00:00";3,7;17;25
"2015-12-08 00:00:00";5,1;13,9;16,9
"2015-12-09 00:00:00";6,2;18;22,7
"2015-12-10 00:00:00";9,2;18,9;23,8
"2015-12-11 00:00:00";5,9;17,5;25,6
"2015-12-12 00:00:00";4,3;15;18,2
"2015-12-13 00:00:00";3,2;14,2;17
"2015-12-14 00:00:00";2,8;12;15,2
"2015-12-15 00:00:00";3,5;11,1;12,6
"2015-12-16 00:00:00";5,1;13,3;15,6
"2015-12-17 00:00:00";4,9;11,8;15,5
"2015-12-18 00:00:00";6,4;13,1;16,4
"2015-12-19 00:00:00";7,1;14,5;18,7
"2015-12-20 00:00:00";7,1;16,4;22,7
"2015-12-21 00:00:00";8,3;23;30,7
"2015-12-22 00:00:00";9,1;23,2;29,9
"2015-12-23 00:00:00";8,1;20,2;27,8
"2015-12-24 00:00:00";7,3;19;24,5
"2015-12-25 00:00:00";8,3;20,8;28,4
"2015-12-26 00:00:00";3,9;17,8;24,5
"2015-12-27 00:00:00";7,7;19,2;23
"2015-12-28 00:00:00";5,3;15,2;19,9
"2015-12-29 00:00:00";8,9;19,8;23,2
"2015-12-30 00:00:00";7,8;18,3;22,7
"2015-12-31 00:00:00";6,9;19,8;24,7
