"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2018-04-01 00:00:00";4,4;17,8;21,7
"2018-04-02 00:00:00";3;10,8;12,7
"2018-04-03 00:00:00";4,9;14,5;17,5
"2018-04-04 00:00:00";4,2;13,1;18
"2018-04-05 00:00:00";6,1;20,4;25,2
"2018-04-06 00:00:00";5,5;18;23,5
"2018-04-07 00:00:00";5,1;14,8;17,3
"2018-04-08 00:00:00";2,7;9,2;14
"2018-04-09 00:00:00";2,9;10,9;12,2
"2018-04-10 00:00:00";7,3;17,9;23,5
"2018-04-11 00:00:00";7,6;16,7;22,1
"2018-04-12 00:00:00";8;18;22,7
"2018-04-13 00:00:00";7,2;14,4;19,7
"2018-04-14 00:00:00";3,6;11;14,8
"2018-04-15 00:00:00";2,2;9,1;11,8
"2018-04-16 00:00:00";2,4;8,5;11,3
"2018-04-17 00:00:00";3,6;10,3;13
"2018-04-18 00:00:00";4;12,6;16,2
"2018-04-19 00:00:00";2,5;8,5;9,9
"2018-04-20 00:00:00";4,2;13,7;15,1
"2018-04-21 00:00:00";4,7;13,7;18
"2018-04-22 00:00:00";3;9,4;12,8
"2018-04-23 00:00:00";6,5;14,9;19
"2018-04-24 00:00:00";7,3;17;21,7
"2018-04-25 00:00:00";5,1;13;17,2
"2018-04-26 00:00:00";6;14;19,4
"2018-04-27 00:00:00";4,8;12,1;14,7
"2018-04-28 00:00:00";2,6;8,7;11,7
"2018-04-29 00:00:00";2,4;10,5;12,1
"2018-04-30 00:00:00";5,7;20,2;26
