"DateTime";"Sol"
"2018-11-01 00:00:00";3,3
"2018-11-02 00:00:00";0,9
"2018-11-03 00:00:00";6,3
"2018-11-04 00:00:00";2,5
"2018-11-05 00:00:00";0
"2018-11-06 00:00:00";1,3
"2018-11-07 00:00:00";1,5
"2018-11-08 00:00:00";1,4
"2018-11-09 00:00:00";0,8
"2018-11-10 00:00:00";0
"2018-11-11 00:00:00";0,4
"2018-11-12 00:00:00";0,2
"2018-11-13 00:00:00";0,7
"2018-11-14 00:00:00";0,9
"2018-11-15 00:00:00";4
"2018-11-16 00:00:00";5,5
"2018-11-17 00:00:00";3,1
"2018-11-18 00:00:00";1,4
"2018-11-19 00:00:00";1,3
"2018-11-20 00:00:00";1
"2018-11-21 00:00:00";1,2
"2018-11-22 00:00:00";0
"2018-11-23 00:00:00";0
"2018-11-24 00:00:00";0
"2018-11-25 00:00:00";0,6
"2018-11-26 00:00:00";4,1
"2018-11-27 00:00:00";3,8
"2018-11-28 00:00:00";2,8
"2018-11-29 00:00:00";0
"2018-11-30 00:00:00";0,3
