"DateTime";"Sol"
"2016-11-01 00:00:00";3,3
"2016-11-02 00:00:00";3,9
"2016-11-03 00:00:00";2,4
"2016-11-04 00:00:00";0,4
"2016-11-05 00:00:00";0
"2016-11-06 00:00:00";0,2
"2016-11-07 00:00:00";1,7
"2016-11-08 00:00:00";3,7
"2016-11-09 00:00:00";1,1
"2016-11-10 00:00:00";3,7
"2016-11-11 00:00:00";6,3
"2016-11-12 00:00:00";5,2
"2016-11-13 00:00:00";4,6
"2016-11-14 00:00:00";1,9
"2016-11-15 00:00:00";0,5
"2016-11-16 00:00:00";0,4
"2016-11-17 00:00:00";2,3
"2016-11-18 00:00:00";1,1
"2016-11-19 00:00:00";1,4
"2016-11-20 00:00:00";1,2
"2016-11-21 00:00:00";0,4
"2016-11-22 00:00:00";2,8
"2016-11-23 00:00:00";2,9
"2016-11-24 00:00:00";5
"2016-11-25 00:00:00";4,3
"2016-11-26 00:00:00";0,5
"2016-11-27 00:00:00";6,2
"2016-11-28 00:00:00";6
"2016-11-29 00:00:00";1,8
"2016-11-30 00:00:00";0
