"DateTime";"Sol"
"2016-04-01 00:00:00";11
"2016-04-02 00:00:00";5,1
"2016-04-03 00:00:00";0,3
"2016-04-04 00:00:00";1,5
"2016-04-05 00:00:00";0,3
"2016-04-06 00:00:00";1
"2016-04-07 00:00:00";2,8
"2016-04-08 00:00:00";5,3
"2016-04-09 00:00:00";7,1
"2016-04-10 00:00:00";6,2
"2016-04-11 00:00:00";12,5
"2016-04-12 00:00:00";2,4
"2016-04-13 00:00:00";2
"2016-04-14 00:00:00";5,2
"2016-04-15 00:00:00";2
"2016-04-16 00:00:00";2
"2016-04-17 00:00:00";5,3
"2016-04-18 00:00:00";1,4
"2016-04-19 00:00:00";7,3
"2016-04-20 00:00:00";12,6
"2016-04-21 00:00:00";5,4
"2016-04-22 00:00:00";12,7
"2016-04-23 00:00:00";7,9
"2016-04-24 00:00:00";6,8
"2016-04-25 00:00:00";4,5
"2016-04-26 00:00:00";1,5
"2016-04-27 00:00:00";2,3
"2016-04-28 00:00:00";4,1
"2016-04-29 00:00:00";5,3
"2016-04-30 00:00:00";4,2
