"DateTime";"Sol"
"2016-12-01 00:00:00";0,2
"2016-12-02 00:00:00";6
"2016-12-03 00:00:00";5,1
"2016-12-04 00:00:00";3,3
"2016-12-05 00:00:00";1,6
"2016-12-06 00:00:00";2,6
"2016-12-07 00:00:00";0,1
"2016-12-08 00:00:00";1,5
"2016-12-09 00:00:00";0,7
"2016-12-10 00:00:00";0,1
"2016-12-11 00:00:00";2,2
"2016-12-12 00:00:00";1,9
"2016-12-13 00:00:00";0,2
"2016-12-14 00:00:00";3,6
"2016-12-15 00:00:00";1,5
"2016-12-16 00:00:00";0,1
"2016-12-17 00:00:00";0
"2016-12-18 00:00:00";1,8
"2016-12-19 00:00:00";0,1
"2016-12-20 00:00:00";0
"2016-12-21 00:00:00";0,1
"2016-12-22 00:00:00";2,9
"2016-12-23 00:00:00";2,9
"2016-12-24 00:00:00";2
"2016-12-25 00:00:00";0,2
"2016-12-26 00:00:00";1,8
"2016-12-27 00:00:00";3,5
"2016-12-28 00:00:00";1,6
"2016-12-29 00:00:00";0,7
"2016-12-30 00:00:00";0,7
"2016-12-31 00:00:00";0,1
