"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2017-03-01 00:00:00";7,2;19,6;23,6
"2017-03-02 00:00:00";4,9;12,4;16,8
"2017-03-03 00:00:00";5,4;14,5;17,6
"2017-03-04 00:00:00";4,9;15,4;18,8
"2017-03-05 00:00:00";5,8;17,5;22,7
"2017-03-06 00:00:00";7,1;17,2;21,2
"2017-03-07 00:00:00";3,8;14,3;17,8
"2017-03-08 00:00:00";4,2;14,6;17,1
"2017-03-09 00:00:00";4,2;11,3;14,8
"2017-03-10 00:00:00";5,3;12,3;15,4
"2017-03-11 00:00:00";2,5;8,3;10,2
"2017-03-12 00:00:00";4,6;11,6;13,7
"2017-03-13 00:00:00";3,6;10,9;12,6
"2017-03-14 00:00:00";6,1;15,3;19,8
"2017-03-15 00:00:00";8,4;16,7;22,9
"2017-03-16 00:00:00";6,2;14,7;17,9
"2017-03-17 00:00:00";7,1;16,3;22,8
"2017-03-18 00:00:00";6,2;20,5;24,5
"2017-03-19 00:00:00";4,5;14,2;17,6
"2017-03-20 00:00:00";5,1;19,4;24,4
"2017-03-21 00:00:00";7,9;20,3;24,5
"2017-03-22 00:00:00";5,4;14,8;21,7
"2017-03-23 00:00:00";2,4;8,7;11,6
"2017-03-24 00:00:00";3,1;10,6;15,3
"2017-03-25 00:00:00";5,2;12,4;17
"2017-03-26 00:00:00";2,9;10;12,1
"2017-03-27 00:00:00";4,8;12,7;15,2
"2017-03-28 00:00:00";3;9,6;10,9
"2017-03-29 00:00:00";3,9;11;13,8
"2017-03-30 00:00:00";4,2;13,3;18,7
"2017-03-31 00:00:00";3,6;11,8;15,6
