"DateTime";"Sol"
"2019-03-01 00:00:00";4,7
"2019-03-02 00:00:00";0,6
"2019-03-03 00:00:00";4,2
"2019-03-04 00:00:00";0,4
"2019-03-05 00:00:00";1
"2019-03-06 00:00:00";0
"2019-03-07 00:00:00";0,6
"2019-03-08 00:00:00";6,5
"2019-03-09 00:00:00";3,2
"2019-03-10 00:00:00";6,4
"2019-03-11 00:00:00";7,6
"2019-03-12 00:00:00";0,6
"2019-03-13 00:00:00";0,7
"2019-03-14 00:00:00";0,4
"2019-03-15 00:00:00";0,5
"2019-03-16 00:00:00";1,3
"2019-03-17 00:00:00";3,3
"2019-03-18 00:00:00";5
"2019-03-19 00:00:00";10,4
"2019-03-20 00:00:00";2
"2019-03-21 00:00:00";1,1
"2019-03-22 00:00:00";0,9
"2019-03-23 00:00:00";5,8
"2019-03-24 00:00:00";4,7
"2019-03-25 00:00:00";5,4
"2019-03-26 00:00:00";6
"2019-03-27 00:00:00";1,2
"2019-03-28 00:00:00";5
"2019-03-29 00:00:00";10,6
"2019-03-30 00:00:00";8,3
"2019-03-31 00:00:00";11
