"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2016-05-01 00:00:00";2,3;9,2;12,4
"2016-05-02 00:00:00";3,6;11;15,2
"2016-05-03 00:00:00";4,3;11,9;14,6
"2016-05-04 00:00:00";3;10,3;13,4
"2016-05-05 00:00:00";2,4;9;10,9
"2016-05-06 00:00:00";4,3;11,9;14,6
"2016-05-07 00:00:00";5,3;11,1;16,1
"2016-05-08 00:00:00";4,8;13;16,4
"2016-05-09 00:00:00";4,4;11,2;13,3
"2016-05-10 00:00:00";3,5;10,6;13,3
"2016-05-11 00:00:00";4,6;13,1;16,8
"2016-05-12 00:00:00";4,2;12,8;16,3
"2016-05-13 00:00:00";3,7;12,9;17,5
"2016-05-14 00:00:00";4,9;14,7;18,2
"2016-05-15 00:00:00";5,1;15,4;20,3
"2016-05-16 00:00:00";6,3;14,8;18,3
"2016-05-17 00:00:00";6,2;13,4;16,4
"2016-05-18 00:00:00";3,7;14,3;17,2
"2016-05-19 00:00:00";2,1;8,6;9,8
"2016-05-20 00:00:00";4,4;13;15,4
"2016-05-21 00:00:00";3,7;11,1;14,2
"2016-05-22 00:00:00";4;10,9;16,8
"2016-05-23 00:00:00";2,9;14,6;25,6
"2016-05-24 00:00:00";3,7;13,5;16,5
"2016-05-25 00:00:00";4,2;15,5;19,8
"2016-05-26 00:00:00";3,1;10,3;12,1
"2016-05-27 00:00:00";2,4;8,5;10,1
"2016-05-28 00:00:00";2,9;9,2;11,5
"2016-05-29 00:00:00";3,9;11,4;14
"2016-05-30 00:00:00";5,8;15,9;19,8
"2016-05-31 00:00:00";4,8;12,4;14,9
