Datum;Uhrzeit;Gesamt[MWh]
04.06.2019;18:00;15.551,75
04.06.2019;18:15;15.509,75
04.06.2019;18:30;15.473,75
04.06.2019;18:45;15.466
04.06.2019;19:00;15.398,75
04.06.2019;19:15;15.295,5
04.06.2019;19:30;15.261,25
04.06.2019;19:45;15.247,75
04.06.2019;20:00;15.175,5
04.06.2019;20:15;14.981
04.06.2019;20:30;14.874,25
04.06.2019;20:45;14.737,5
04.06.2019;21:00;14.543,25
04.06.2019;21:15;14.337,5
04.06.2019;21:30;14.342,5
04.06.2019;21:45;14.218,5
04.06.2019;22:00;14.158,75
04.06.2019;22:15;13.986,25
04.06.2019;22:30;13.670,25
04.06.2019;22:45;13.456,5
04.06.2019;23:00;13.123,75
04.06.2019;23:15;12.943,75
04.06.2019;23:30;12.878,25
04.06.2019;23:45;12.686
05.06.2019;00:00;12.434,25
05.06.2019;00:15;12.304,25
05.06.2019;00:30;12.224
05.06.2019;00:45;12.031
05.06.2019;01:00;11.880,25
05.06.2019;01:15;11.865,5
05.06.2019;01:30;11.754,25
05.06.2019;01:45;11.687,25
05.06.2019;02:00;11.511,5
05.06.2019;02:15;11.477,25
05.06.2019;02:30;11.446,25
05.06.2019;02:45;11.350,5
05.06.2019;03:00;11.386,5
05.06.2019;03:15;11.333,5
05.06.2019;03:30;11.253
05.06.2019;03:45;11.278
05.06.2019;04:00;11.402,75
05.06.2019;04:15;11.498,5
05.06.2019;04:30;11.605
05.06.2019;04:45;11.727,5
05.06.2019;05:00;11.975,5
05.06.2019;05:15;11.997,5
05.06.2019;05:30;12.212
05.06.2019;05:45;12.533,5
05.06.2019;06:00;13.269
05.06.2019;06:15;13.808,25
05.06.2019;06:30;14.286,75
05.06.2019;06:45;14.686,5
05.06.2019;07:00;15.172
05.06.2019;07:15;15.516,5
05.06.2019;07:30;15.794,25
05.06.2019;07:45;15.972,25
05.06.2019;08:00;16.189
05.06.2019;08:15;16.388,75
05.06.2019;08:30;16.457
05.06.2019;08:45;16.501,75
05.06.2019;09:00;16.348
05.06.2019;09:15;16.425,75
05.06.2019;09:30;16.481,5
05.06.2019;09:45;16.667,25
05.06.2019;10:00;16.811
05.06.2019;10:15;16.956
05.06.2019;10:30;17.105,5
05.06.2019;10:45;17.316,75
05.06.2019;11:00;17.344,25
05.06.2019;11:15;17.449,5
05.06.2019;11:30;17.397
05.06.2019;11:45;17.400,5
05.06.2019;12:00;17.280,75
05.06.2019;12:15;17.294
05.06.2019;12:30;17.294,75
05.06.2019;12:45;17.322
05.06.2019;13:00;17.324
05.06.2019;13:15;17.311,5
05.06.2019;13:30;17.182,25
05.06.2019;13:45;17.045,25
05.06.2019;14:00;16.913,75
05.06.2019;14:15;16.893
05.06.2019;14:30;16.820
05.06.2019;14:45;16.764,25
05.06.2019;15:00;16.632,5
05.06.2019;15:15;16.562,5
05.06.2019;15:30;16.522
05.06.2019;15:45;16.310,25
05.06.2019;16:00;16.332,75
05.06.2019;16:15;16.298,5
05.06.2019;16:30;16.193
05.06.2019;16:45;16.102,75
05.06.2019;17:00;16.021,75
05.06.2019;17:15;15.943,5
05.06.2019;17:30;15.873,25
05.06.2019;17:45;15.777,5
05.06.2019;18:00;15.670,25
05.06.2019;18:15;15.535,75
05.06.2019;18:30;15.519
05.06.2019;18:45;15.500
05.06.2019;19:00;15.433,5
05.06.2019;19:15;15.326,75
05.06.2019;19:30;15.284,75
05.06.2019;19:45;15.297,5
05.06.2019;20:00;15.110
05.06.2019;20:15;14.879,25
05.06.2019;20:30;14.594,5
05.06.2019;20:45;14.525,75
05.06.2019;21:00;14.204,5
05.06.2019;21:15;14.039
05.06.2019;21:30;13.977,25
05.06.2019;21:45;13.920
05.06.2019;22:00;13.753,25
05.06.2019;22:15;13.669
05.06.2019;22:30;13.456
05.06.2019;22:45;13.228,75
05.06.2019;23:00;12.923,25
05.06.2019;23:15;12.728
05.06.2019;23:30;12.512,75
05.06.2019;23:45;12.228,25
06.06.2019;00:00;12.194
06.06.2019;00:15;12.014,75
06.06.2019;00:30;11.961,5
06.06.2019;00:45;11.920,75
06.06.2019;01:00;11.824
06.06.2019;01:15;11.681,25
06.06.2019;01:30;11.607,75
06.06.2019;01:45;11.450,75
06.06.2019;02:00;11.299
06.06.2019;02:15;11.330,25
06.06.2019;02:30;11.465,25
06.06.2019;02:45;11.458,5
