Date;PVPP [MW]
12.01.2019;27,4
13.01.2019;41,7
14.01.2019;69,5
15.01.2019;46,4
16.01.2019;70
17.01.2019;98,6
18.01.2019;114,8
19.01.2019;207,7
20.01.2019;54,2
21.01.2019;211,1
22.01.2019;119,4
23.01.2019;107
24.01.2019;31
25.01.2019;69,9
26.01.2019;20
27.01.2019;80,2
28.01.2019;33,8
29.01.2019;104,8
30.01.2019;208,6
31.01.2019;142,4
01.02.2019;67,4
02.02.2019;64,5
03.02.2019;14,1
04.02.2019;80,6
05.02.2019;239,8
06.02.2019;123,5
07.02.2019;173,1
08.02.2019;212,1
09.02.2019;172,2
10.02.2019;116,9
11.02.2019;85,8
12.02.2019;120,8
13.02.2019;116,6
14.02.2019;207,1
15.02.2019;330,2
16.02.2019;327,2
17.02.2019;347,6
18.02.2019;330,7
19.02.2019;304,2
20.02.2019;207,6
21.02.2019;162,2
22.02.2019;146,5
23.02.2019;314,1
24.02.2019;149,5
25.02.2019;307,2
26.02.2019;217,4
27.02.2019;396,5
28.02.2019;378,6
01.03.2019;104,8
02.03.2019;76,3
03.03.2019;150,1
04.03.2019;226,8
05.03.2019;193,4
06.03.2019;378,4
07.03.2019;267,6
08.03.2019;252,1
09.03.2019;151,1
10.03.2019;76,1
11.03.2019;205,6
12.03.2019;255,2
13.03.2019;228,1
14.03.2019;172,3
15.03.2019;163,6
16.03.2019;116,3
17.03.2019;425,2
18.03.2019;209,5
19.03.2019;297,4
20.03.2019;374,9
21.03.2019;476,5
22.03.2019;445
23.03.2019;468,2
24.03.2019;255,3
25.03.2019;304,5
26.03.2019;217
27.03.2019;260,4
28.03.2019;154,2
29.03.2019;409,3
30.03.2019;495,6
31.03.2019;448,3
01.04.2019;486,5
02.04.2019;460
03.04.2019;399,1
04.04.2019;445,5
05.04.2019;392,3
06.04.2019;321,9
07.04.2019;345,8
08.04.2019;401,3
09.04.2019;433,4
10.04.2019;328,3
11.04.2019;332,6
12.04.2019;218,5
13.04.2019;214,3
14.04.2019;213,8
15.04.2019;551,8
16.04.2019;542,5
17.04.2019;483,4
18.04.2019;544,8
19.04.2019;554,7
20.04.2019;553,3
21.04.2019;556
22.04.2019;556,9
23.04.2019;233,9
24.04.2019;375,1
25.04.2019;515,2
26.04.2019;379,1
27.04.2019;198,8
28.04.2019;298,2
29.04.2019;97
30.04.2019;323,9
01.05.2019;375,4
02.05.2019;427,6
03.05.2019;185,1
04.05.2019;242,6
05.05.2019;249,7
06.05.2019;282,7
07.05.2019;342,5
08.05.2019;490,7
09.05.2019;230,6
10.05.2019;333,2
11.05.2019;278
12.05.2019;162,1
13.05.2019;359,3
14.05.2019;294,1
15.05.2019;96
16.05.2019;149,6
17.05.2019;366,8
18.05.2019;455
19.05.2019;438,5
20.05.2019;198,1
21.05.2019;315,9
22.05.2019;84,6
23.05.2019;272,9
24.05.2019;509,8
25.05.2019;431,1
26.05.2019;459,3
27.05.2019;384,5
28.05.2019;136,8
29.05.2019;225,5
30.05.2019;453,5
31.05.2019;424,4
01.06.2019;459
02.06.2019;512,6
03.06.2019;525
04.06.2019;497,7
05.06.2019;487,5
06.06.2019;317,4
07.06.2019;389,1
08.06.2019;368
09.06.2019;520,5
10.06.2019;440,5
11.06.2019;500,1
12.06.2019;514,5
13.06.2019;442,5
14.06.2019;515,6
15.06.2019;435,1
16.06.2019;287,2
17.06.2019;468,1
18.06.2019;501,8
19.06.2019;411,2
20.06.2019;392,1
21.06.2019;412,1
22.06.2019;273
23.06.2019;305,6
24.06.2019;524,1
25.06.2019;521,1
26.06.2019;516
27.06.2019;531,3
28.06.2019;514,3
29.06.2019;544,7
30.06.2019;539,5
01.07.2019;401,1
