Datum;Uhrzeit;Gesamt[MWh];Wind Offshore[MWh];Wind Onshore[MWh];Photovoltaik[MWh];Sonstige[MWh]
02.06.2017;00:00;52.477;47,75;669,75;0;49.697
02.06.2017;00:15;-;47,75;654,75;0;-
02.06.2017;00:30;-;48,25;638,25;0;-
02.06.2017;00:45;-;49,75;623,75;0;-
02.06.2017;01:00;48.948;48,25;608;0;46.417,5
02.06.2017;01:15;-;46;593;0;-
02.06.2017;01:30;-;45,75;578,75;0;-
02.06.2017;01:45;-;45,75;565;0;-
02.06.2017;02:00;46.988;46,75;558;0;44.628,5
02.06.2017;02:15;-;46,75;556;0;-
02.06.2017;02:30;-;48,25;537,75;0;-
02.06.2017;02:45;-;50,5;515,5;0;-
02.06.2017;03:00;46.368;52;502;0;44.266,25
02.06.2017;03:15;-;51,25;480,5;0;-
02.06.2017;03:30;-;53,5;461,5;0;-
02.06.2017;03:45;-;54,5;446,5;0;-
02.06.2017;04:00;46.454;55,75;425,5;0;44.611,25
02.06.2017;04:15;-;58;413;0;-
02.06.2017;04:30;-;60;393,25;0;-
02.06.2017;04:45;-;61,75;374,25;1,25;-
02.06.2017;05:00;48.555;63,75;353,5;9,75;46.711,25
02.06.2017;05:15;-;66,25;336,75;33,25;-
02.06.2017;05:30;-;68;321;72,75;-
02.06.2017;05:45;-;70,75;311,75;136,25;-
02.06.2017;06:00;57.337;72,5;294;223,5;54.128,5
02.06.2017;06:15;-;74,25;278,75;344,25;-
02.06.2017;06:30;-;76,5;264;516,5;-
02.06.2017;06:45;-;79,25;250,75;734,25;-
02.06.2017;07:00;65.567;81;238,25;983,25;58.669,5
02.06.2017;07:15;-;82;227,25;1.262,75;-
02.06.2017;07:30;-;83;208;1.567,75;-
02.06.2017;07:45;-;83,75;184,5;1.896;-
02.06.2017;08:00;74.716;84,25;159;2.242,25;62.765,25
02.06.2017;08:15;-;83;140,75;2.595,25;-
02.06.2017;08:30;-;82,5;126,5;2.948,75;-
02.06.2017;08:45;-;81,5;112;3.295;-
02.06.2017;09:00;81.070;79,75;96,75;3.627,25;64.096
02.06.2017;09:15;-;78,5;94,75;3.940;-
02.06.2017;09:30;-;77,25;84,75;4.232,5;-
02.06.2017;09:45;-;76,5;77,5;4.508,5;-
02.06.2017;10:00;86.562;73,5;86,5;4.767,25;65.535,5
02.06.2017;10:15;-;71,5;85,5;5.004,75;-
02.06.2017;10:30;-;70;84;5.219;-
02.06.2017;10:45;-;68;82,5;5.414;-
02.06.2017;11:00;89.831;66,25;81,5;5.582;66.132,25
02.06.2017;11:15;-;64,5;84,5;5.723,75;-
02.06.2017;11:30;-;63,25;88;5.846;-
02.06.2017;11:45;-;61,75;91,25;5.946;-
02.06.2017;12:00;91.263;60;95;6.022,5;66.382,5
02.06.2017;12:15;-;59,75;96,75;6.068,75;-
02.06.2017;12:30;-;59;99,25;6.084,25;-
02.06.2017;12:45;-;58;102,5;6.074,75;-
02.06.2017;13:00;89.516;57,5;104,75;6.039,25;65.077,75
02.06.2017;13:15;-;56,5;107,5;5.982,25;-
02.06.2017;13:30;-;54,75;111,5;5.914,75;-
02.06.2017;13:45;-;54;115;5.840,5;-
02.06.2017;14:00;86.148;51,25;120;5.746,25;63.185,25
02.06.2017;14:15;-;50,5;123,75;5.636,75;-
02.06.2017;14:30;-;49;128,25;5.511,25;-
02.06.2017;14:45;-;47;135;5.363,75;-
02.06.2017;15:00;82.643;46,5;139,75;5.200;62.210,75
02.06.2017;15:15;-;46;143,75;5.022;-
02.06.2017;15:30;-;44,5;147,5;4.828;-
02.06.2017;15:45;-;44;152;4.618,25;-
02.06.2017;16:00;77.464;44,25;155,75;4.394,5;60.553,5
02.06.2017;16:15;-;42,75;163,5;4.152,75;-
02.06.2017;16:30;-;41,75;169,5;3.898,5;-
02.06.2017;16:45;-;41,5;175,5;3.630,25;-
02.06.2017;17:00;72.167;40;182,5;3.349,75;59.584,5
02.06.2017;17:15;-;39,75;193,75;3.058;-
02.06.2017;17:30;-;40,25;205,75;2.758,75;-
02.06.2017;17:45;-;39,75;219,75;2.454,5;-
02.06.2017;18:00;67.255;39,5;234,25;2.148;59.235,75
02.06.2017;18:15;-;39,75;248,25;1.845,5;-
02.06.2017;18:30;-;39,75;263,25;1.554,75;-
02.06.2017;18:45;-;39,75;280,25;1.286,25;-
02.06.2017;19:00;63.150;40,5;301;1.038,25;58.601,25
02.06.2017;19:15;-;40,25;328,25;823,25;-
02.06.2017;19:30;-;39,75;355;642,25;-
02.06.2017;19:45;-;39,75;391;509,5;-
02.06.2017;20:00;59.910;39,75;426,75;362,75;56.932,25
02.06.2017;20:15;-;40,25;474,25;233,75;-
02.06.2017;20:30;-;40,75;523,5;139,75;-
02.06.2017;20:45;-;41,75;583,5;71;-
02.06.2017;21:00;58.002;43;651,25;27,25;54.822,5
02.06.2017;21:15;-;44;711,25;7,75;-
02.06.2017;21:30;-;45;773,25;1,75;-
02.06.2017;21:45;-;46,25;828,5;0,25;-
02.06.2017;22:00;57.826;46,5;886;0;53.736,25
02.06.2017;22:15;-;47,75;944;0;-
02.06.2017;22:30;-;49,25;1.003;0;-
02.06.2017;22:45;-;50;1.063,25;0;-
02.06.2017;23:00;56.055;51,5;1.117,75;0;51.179
02.06.2017;23:15;-;51,5;1.150,5;0;-
02.06.2017;23:30;-;52,5;1.183;0;-
02.06.2017;23:45;-;52,5;1.216,75;0;-
03.06.2017;00:00;52.118;35,25;1.368,5;0;46.537
03.06.2017;00:15;-;34;1.363;0;-
03.06.2017;00:30;-;34,75;1.358,25;0;-
03.06.2017;00:45;-;34,5;1.352,75;0;-
03.06.2017;01:00;48.694;35,5;1.347;0;43.221,25
03.06.2017;01:15;-;37,75;1.337,25;0;-
03.06.2017;01:30;-;35,75;1.327,5;0;-
03.06.2017;01:45;-;32,75;1.319,25;0;-
03.06.2017;02:00;47.722;33,5;1.625,5;0;41.079
03.06.2017;02:15;-;34;1.621,5;0;-
03.06.2017;02:30;-;33,5;1.635;0;-
03.06.2017;02:45;-;35,75;1.624,25;0;-
03.06.2017;03:00;46.504;38,75;1.581,75;0;40.017,25
03.06.2017;03:15;-;41,75;1.588,75;0;-
03.06.2017;03:30;-;41,75;1.582,5;0;-
03.06.2017;03:45;-;47,5;1.564;0;-
03.06.2017;04:00;46.236;50,75;1.552,25;0;39.915,25
03.06.2017;04:15;-;53,25;1.536,25;0;-
03.06.2017;04:30;-;56;1.516;0;-
03.06.2017;04:45;-;58;1.497;1,25;-
03.06.2017;05:00;45.683;61,25;1.472;9;39.502,75
03.06.2017;05:15;-;64,25;1.441;30,75;-
03.06.2017;05:30;-;67,75;1.402,5;70,75;-
03.06.2017;05:45;-;70,75;1.351,5;138,75;-
03.06.2017;06:00;48.429;74,75;1.300;232;41.423,75
03.06.2017;06:15;-;77;1.249,25;352,75;-
03.06.2017;06:30;-;80,5;1.199,25;508;-
03.06.2017;06:45;-;83,25;1.152,5;696;-
03.06.2017;07:00;53.700;86,5;1.101,25;905,75;44.128,75
03.06.2017;07:15;-;87,5;1.065;1.137,5;-
03.06.2017;07:30;-;90,5;1.008,5;1.390;-
03.06.2017;07:45;-;93;943;1.662,75;-
03.06.2017;08:00;59.513;93,5;879,75;1.949,25;46.361,25
03.06.2017;08:15;-;92;832,5;2.241,75;-
03.06.2017;08:30;-;91,25;782,5;2.537,5;-
03.06.2017;08:45;-;89,5;736;2.826,25;-
03.06.2017;09:00;65.555;88;701;3.105,5;48.634
03.06.2017;09:15;-;86,75;655,75;3.371;-
03.06.2017;09:30;-;85,25;638;3.624,75;-
03.06.2017;09:45;-;83,5;618;3.863,5;-
03.06.2017;10:00;69.865;92,75;688,25;4.084,25;49.341,5
03.06.2017;10:15;-;93,25;669,75;4.288,25;-
03.06.2017;10:30;-;92,25;655,25;4.472,75;-
03.06.2017;10:45;-;91,25;656;4.639,5;-
03.06.2017;11:00;72.870;91,5;659,5;4.783,5;49.972,25
03.06.2017;11:15;-;90;674,25;4.906,5;-
03.06.2017;11:30;-;89,25;688,75;5.014,75;-
03.06.2017;11:45;-;87,25;707,75;5.104,75;-
03.06.2017;12:00;74.468;85,25;726,25;5.177;50.182,25
03.06.2017;12:15;-;84,5;748,5;5.231;-
03.06.2017;12:30;-;83;771,25;5.255,75;-
03.06.2017;12:45;-;82,25;789,75;5.251,25;-
03.06.2017;13:00;73.432;80,5;807;5.218,5;49.335,25
03.06.2017;13:15;-;78,25;816,25;5.166,75;-
03.06.2017;13:30;-;76;826,5;5.096,75;-
03.06.2017;13:45;-;73;837,25;5.020;-
03.06.2017;14:00;70.685;70,75;843;4.925,5;48.096,5
03.06.2017;14:15;-;68,5;836,75;4.813,5;-
03.06.2017;14:30;-;67;829,75;4.691,5;-
03.06.2017;14:45;-;66;823;4.553,25;-
03.06.2017;15:00;66.946;65;819,5;4.404;46.942,5
03.06.2017;15:15;-;64,5;808,75;4.232;-
03.06.2017;15:30;-;63,5;798,25;4.046,5;-
03.06.2017;15:45;-;63;789,25;3.849,25;-
03.06.2017;16:00;63.117;63,75;778,5;3.642,25;46.737,25
03.06.2017;16:15;-;64,75;767,5;3.393,75;-
03.06.2017;16:30;-;64,75;757,75;3.141;-
03.06.2017;16:45;-;64,75;751,25;2.889,75;-
03.06.2017;17:00;58.875;64,75;744;2.633,5;46.640
03.06.2017;17:15;-;64,25;737,5;2.384;-
03.06.2017;17:30;-;62,5;730,75;2.133,75;-
03.06.2017;17:45;-;61;726,25;1.892,75;-
03.06.2017;18:00;56.575;61,5;724,25;1.657;48.079,75
03.06.2017;18:15;-;62,25;725,75;1.435,25;-
03.06.2017;18:30;-;63,25;727;1.223;-
03.06.2017;18:45;-;64,25;729;1.022,75;-
03.06.2017;19:00;54.047;64,25;736,25;837,5;48.330
03.06.2017;19:15;-;67;744,75;671;-
03.06.2017;19:30;-;68,25;755;527,75;-
03.06.2017;19:45;-;70;764,5;410,75;-
03.06.2017;20:00;51.670;71,5;773,75;274,25;47.566
03.06.2017;20:15;-;75;791;171,25;-
03.06.2017;20:30;-;78,25;808,25;97,5;-
03.06.2017;20:45;-;82;829;52,25;-
03.06.2017;21:00;50.220;85,75;852,25;20,5;46.257,5
03.06.2017;21:15;-;87,5;880,25;5,25;-
03.06.2017;21:30;-;90,25;909,25;1,25;-
03.06.2017;21:45;-;93,5;936,5;0,25;-
03.06.2017;22:00;50.477;96,25;966,25;0;46.043
03.06.2017;22:15;-;100;993;0;-
03.06.2017;22:30;-;104,75;1.019,75;0;-
03.06.2017;22:45;-;109,25;1.044,75;0;-
03.06.2017;23:00;49.453;114;1.067;0;44.626,5
03.06.2017;23:15;-;118;1.080,25;0;-
03.06.2017;23:30;-;122,25;1.092,75;0;-
03.06.2017;23:45;-;126;1.106,25;0;-
04.06.2017;00:00;44.265;84;972,5;0;39.919,25
04.06.2017;00:15;-;91,75;984;0;-
04.06.2017;00:30;-;101;994,75;0;-
04.06.2017;00:45;-;112;1.005,75;0;-
04.06.2017;01:00;42.114;131;1.019,75;0;37.280,75
04.06.2017;01:15;-;157,5;1.038,25;0;-
04.06.2017;01:30;-;169;1.058,75;0;-
04.06.2017;01:45;-;179,75;1.079,25;0;-
04.06.2017;02:00;42.021;206;1.037;0;36.848,5
04.06.2017;02:15;-;237,5;1.042,5;0;-
04.06.2017;02:30;-;249;1.049;0;-
04.06.2017;02:45;-;255,75;1.095,75;0;-
04.06.2017;03:00;42.307;267,75;1.134,75;0;36.627,5
04.06.2017;03:15;-;282;1.118,5;0;-
04.06.2017;03:30;-;282,5;1.128;0;-
04.06.2017;03:45;-;276,75;1.189,25;0;-
04.06.2017;04:00;42.665;278;1.210;0;36.515,75
04.06.2017;04:15;-;279,75;1.239,75;0;-
04.06.2017;04:30;-;281,25;1.270,25;0;-
04.06.2017;04:45;-;282,25;1.307,5;0,5;-
04.06.2017;05:00;42.776;284;1.338,5;3,75;35.973,75
04.06.2017;05:15;-;278,5;1.382,75;13,25;-
04.06.2017;05:30;-;272,5;1.414,5;33,5;-
04.06.2017;05:45;-;267;1.450,5;63,5;-
04.06.2017;06:00;44.224;261;1.483;104,5;36.276,75
04.06.2017;06:15;-;255,75;1.513,5;159,5;-
04.06.2017;06:30;-;252;1.549,25;229;-
04.06.2017;06:45;-;247,5;1.585,25;307;-
04.06.2017;07:00;47.833;244;1.611,75;389,25;38.100,5
04.06.2017;07:15;-;238,25;1.644;476;-
04.06.2017;07:30;-;233,5;1.690,5;569,5;-
04.06.2017;07:45;-;228,75;1.740,25;666,75;-
04.06.2017;08:00;51.938;221,25;1.789,25;769,75;39.968,75
04.06.2017;08:15;-;216;1.813,75;876;-
04.06.2017;08:30;-;211,25;1.870;990,5;-
04.06.2017;08:45;-;206;1.898;1.107,5;-
04.06.2017;09:00;55.850;200;1.944,5;1.225;41.337
04.06.2017;09:15;-;194;1.989,5;1.343,5;-
04.06.2017;09:30;-;188,5;2.033,75;1.476,75;-
04.06.2017;09:45;-;182,5;2.109,5;1.625,5;-
04.06.2017;10:00;60.114;177,5;2.087,25;1.783;42.601,25
04.06.2017;10:15;-;173;2.142,5;1.948,5;-
04.06.2017;10:30;-;167,75;2.201,75;2.118,25;-
04.06.2017;10:45;-;164,25;2.259,25;2.289,75;-
04.06.2017;11:00;64.728;160,5;2.317,5;2.461,25;43.591
04.06.2017;11:15;-;163,75;2.376,25;2.632;-
04.06.2017;11:30;-;167,25;2.437,75;2.796,75;-
04.06.2017;11:45;-;171,25;2.498;2.954,75;-
04.06.2017;12:00;67.473;175,75;2.560,25;3.104,25;42.916,75
04.06.2017;12:15;-;182,75;2.625,75;3.242,25;-
04.06.2017;12:30;-;188,75;2.695,5;3.361;-
04.06.2017;12:45;-;195;2.767,25;3.457,75;-
04.06.2017;13:00;67.438;202,25;2.835,25;3.541,25;40.332,25
04.06.2017;13:15;-;212,25;2.895;3.617;-
04.06.2017;13:30;-;221,75;2.957,5;3.675,5;-
04.06.2017;13:45;-;232,5;3.021;3.694,5;-
04.06.2017;14:00;65.919;242,75;3.083;3.737,25;37.361,5
04.06.2017;14:15;-;254,5;3.104;3.765;-
04.06.2017;14:30;-;267,5;3.123,5;3.779,25;-
04.06.2017;14:45;-;278,75;3.146,25;3.775,75;-
04.06.2017;15:00;63.790;289,25;3.155,5;3.761,5;35.321,75
04.06.2017;15:15;-;302;3.127,25;3.731,5;-
04.06.2017;15:30;-;315;3.101,5;3.679,25;-
04.06.2017;15:45;-;328,25;3.077,5;3.599,75;-
04.06.2017;16:00;61.397;342,5;3.050;3.501,25;34.788,5
04.06.2017;16:15;-;352,75;3.008,75;3.383,75;-
04.06.2017;16:30;-;363,75;2.964;3.250,25;-
04.06.2017;16:45;-;374,5;2.918,75;3.098,25;-
04.06.2017;17:00;60.515;385;2.866,5;2.926;37.487,75
04.06.2017;17:15;-;387,5;2.786,75;2.733,5;-
04.06.2017;17:30;-;391;2.706,5;2.525,5;-
04.06.2017;17:45;-;393,75;2.625,25;2.300;-
04.06.2017;18:00;58.933;397;2.540;2.059,75;41.118,25
04.06.2017;18:15;-;396;2.432,5;1.808,5;-
04.06.2017;18:30;-;394,75;2.324,25;1.550;-
04.06.2017;18:45;-;393,5;2.217,25;1.301,25;-
04.06.2017;19:00;53.583;391,25;2.119,5;1.065;40.975,75
04.06.2017;19:15;-;389,25;2.027,5;852,5;-
04.06.2017;19:30;-;386,5;1.938;673,75;-
04.06.2017;19:45;-;383;1.850,25;530,75;-
04.06.2017;20:00;50.207;380,25;1.765,75;385,5;41.214,5
04.06.2017;20:15;-;372,25;1.696;255;-
04.06.2017;20:30;-;364;1.624,25;158;-
04.06.2017;20:45;-;355;1.555;81,5;-
04.06.2017;21:00;49.034;347;1.481,5;33,25;41.973
04.06.2017;21:15;-;340,25;1.438,25;9,5;-
04.06.2017;21:30;-;333;1.395,75;2,25;-
04.06.2017;21:45;-;326;1.354;0,25;-
04.06.2017;22:00;48.975;320;1.317,25;0;42.620,25
04.06.2017;22:15;-;322;1.283,75;0;-
04.06.2017;22:30;-;321;1.251,25;0;-
04.06.2017;22:45;-;322,5;1.217;0;-
04.06.2017;23:00;46.332;323,25;1.184,75;0;40.471,5
04.06.2017;23:15;-;321,25;1.158;0;-
04.06.2017;23:30;-;320,75;1.130;0;-
04.06.2017;23:45;-;318,75;1.103,75;0;-
05.06.2017;00:00;43.690;309;1.239,5;0;37.739
05.06.2017;00:15;-;304,5;1.207,75;0;-
05.06.2017;00:30;-;294;1.174,75;0;-
05.06.2017;00:45;-;279,75;1.141,75;0;-
05.06.2017;01:00;42.626;270;1.110,5;0;37.294,25
05.06.2017;01:15;-;261;1.085;0;-
05.06.2017;01:30;-;258,75;1.059,75;0;-
05.06.2017;01:45;-;252,5;1.034,25;0;-
05.06.2017;02:00;41.468;250,75;840,5;0;37.089
05.06.2017;02:15;-;234,75;848,75;0;-
05.06.2017;02:30;-;246,5;857;0;-
05.06.2017;02:45;-;263;837,75;0;-
05.06.2017;03:00;39.666;271,75;842,5;0;35.320,75
05.06.2017;03:15;-;282;817,25;0;-
05.06.2017;03:30;-;286,5;785,25;0;-
05.06.2017;03:45;-;291,5;768,5;0;-
05.06.2017;04:00;39.326;300;756,5;0;35.156,25
05.06.2017;04:15;-;310;735,5;0;-
05.06.2017;04:30;-;321,75;716,25;0;-
05.06.2017;04:45;-;333,25;695;1,5;-
05.06.2017;05:00;39.882;345,5;671,25;11;35.616,75
05.06.2017;05:15;-;359,75;645,5;34,75;-
05.06.2017;05:30;-;374,75;621,25;75,5;-
05.06.2017;05:45;-;389,5;597,75;138,75;-
05.06.2017;06:00;42.768;404,75;570;230,75;37.171,25
05.06.2017;06:15;-;421,25;542;352;-
05.06.2017;06:30;-;440,25;504;508,75;-
05.06.2017;06:45;-;457;475,5;690,5;-
05.06.2017;07:00;48.625;475,25;442,75;887,75;40.109
05.06.2017;07:15;-;493;404,75;1.102;-
05.06.2017;07:30;-;511;391,25;1.331,25;-
05.06.2017;07:45;-;528,5;374,25;1.574,25;-
05.06.2017;08:00;55.759;540,75;358,5;1.829,75;43.196
05.06.2017;08:15;-;552,75;359,75;2.092,5;-
05.06.2017;08:30;-;563,5;364,25;2.352,75;-
05.06.2017;08:45;-;573,5;369,25;2.605,75;-
05.06.2017;09:00;62.795;581,75;370;2.848,5;46.122,75
05.06.2017;09:15;-;587;380,5;3.078,75;-
05.06.2017;09:30;-;592,25;412,5;3.290,25;-
05.06.2017;09:45;-;596,75;444,75;3.489,25;-
05.06.2017;10:00;68.081;571,25;612;3.671;47.559,5
05.06.2017;10:15;-;577,25;638,75;3.833,25;-
05.06.2017;10:30;-;583;666,75;3.977,75;-
05.06.2017;10:45;-;589,25;693,25;4.108;-
05.06.2017;11:00;71.661;592,75;716,75;4.219,75;48.982,75
05.06.2017;11:15;-;588;730;4.314,5;-
05.06.2017;11:30;-;583,75;744,25;4.394,5;-
05.06.2017;11:45;-;579,5;757,75;4.456,75;-
05.06.2017;12:00;73.071;573;767;4.502,5;49.652,25
05.06.2017;12:15;-;564,5;765;4.532,75;-
05.06.2017;12:30;-;556;764,25;4.545,25;-
05.06.2017;12:45;-;547,25;764;4.537,25;-
05.06.2017;13:00;70.398;538,5;761,5;4.511;47.540,5
05.06.2017;13:15;-;528,5;755;4.472,75;-
05.06.2017;13:30;-;518;748,5;4.417;-
05.06.2017;13:45;-;509;741,25;4.356,5;-
05.06.2017;14:00;67.682;497,25;734,25;4.276,5;46.445,25
05.06.2017;14:15;-;482,75;717,5;4.183,25;-
05.06.2017;14:30;-;467,25;700,5;4.080,5;-
05.06.2017;14:45;-;450,5;685;3.961,5;-
05.06.2017;15:00;63.280;433,75;666,25;3.833,25;44.660
05.06.2017;15:15;-;412;643,5;3.694,75;-
05.06.2017;15:30;-;390,25;621,25;3.552;-
05.06.2017;15:45;-;368,5;599,75;3.404,75;-
05.06.2017;16:00;60.230;348,75;576;3.250,25;44.840,25
05.06.2017;16:15;-;334;545,5;3.081,5;-
05.06.2017;16:30;-;319,5;513,75;2.908;-
05.06.2017;16:45;-;305;482,5;2.725;-
05.06.2017;17:00;55.786;291;454,75;2.535;44.100,25
05.06.2017;17:15;-;277,25;430;2.337,5;-
05.06.2017;17:30;-;264,25;402,25;2.137;-
05.06.2017;17:45;-;249,25;377,25;1.930,25;-
05.06.2017;18:00;52.435;237;358,5;1.719,25;44.521,25
05.06.2017;18:15;-;232,25;346,5;1.508,5;-
05.06.2017;18:30;-;225,75;337;1.300,5;-
05.06.2017;18:45;-;220;327;1.101,5;-
05.06.2017;19:00;50.132;214,75;324;912,5;45.230,75
05.06.2017;19:15;-;211,25;334,5;739,75;-
05.06.2017;19:30;-;209,25;343,75;585,75;-
05.06.2017;19:45;-;205,5;357,25;463;-
05.06.2017;20:00;48.124;204,5;375,75;337,75;44.660
05.06.2017;20:15;-;212,75;428;228,25;-
05.06.2017;20:30;-;221,25;481;137,75;-
05.06.2017;20:45;-;229,75;534,5;72,75;-
05.06.2017;21:00;47.797;240,25;597,75;30,5;43.740,25
05.06.2017;21:15;-;258;689;10;-
05.06.2017;21:30;-;277,25;781;2,25;-
05.06.2017;21:45;-;295,25;875,25;0,25;-
05.06.2017;22:00;50.319;315,5;968;0;44.436,25
05.06.2017;22:15;-;340,25;1.067;0;-
05.06.2017;22:30;-;364;1.168,25;0;-
05.06.2017;22:45;-;387,25;1.272,5;0;-
05.06.2017;23:00;50.347;410,5;1.373,5;0;42.488,25
05.06.2017;23:15;-;440;1.463,25;0;-
05.06.2017;23:30;-;471,25;1.553,5;0;-
05.06.2017;23:45;-;501,5;1.645,25;0;-
06.06.2017;00:00;51.763;467,25;1.823;0;42.107,5
06.06.2017;00:15;-;468,5;1.880;0;-
06.06.2017;00:30;-;520,25;1.938;0;-
06.06.2017;00:45;-;567,75;1.990,75;0;-
06.06.2017;01:00;51.463;626,25;2.037,75;0;40.385
06.06.2017;01:15;-;660,5;2.068,75;0;-
06.06.2017;01:30;-;705,5;2.099,75;0;-
06.06.2017;01:45;-;753,5;2.126;0;-
06.06.2017;02:00;50.386;784,25;2.511,25;0;36.763,75
06.06.2017;02:15;-;807,25;2.578;0;-
06.06.2017;02:30;-;829,5;2.620;0;-
06.06.2017;02:45;-;857,75;2.634,25;0;-
06.06.2017;03:00;49.839;897,75;2.645,5;0;35.654,75
06.06.2017;03:15;-;936;2.642,75;0;-
06.06.2017;03:30;-;954,75;2.605,25;0;-
06.06.2017;03:45;-;961,75;2.540,5;0;-
06.06.2017;04:00;50.870;966,25;2.510,5;0;37.044,5
06.06.2017;04:15;-;968,25;2.497,75;0;-
06.06.2017;04:30;-;971,75;2.476,5;0;-
06.06.2017;04:45;-;974,75;2.458;1,75;-
06.06.2017;05:00;55.538;977,75;2.435,75;10,75;41.791,5
06.06.2017;05:15;-;979,25;2.389,5;33,5;-
06.06.2017;05:30;-;979,25;2.382;74,25;-
06.06.2017;05:45;-;980,5;2.364,75;139,25;-
06.06.2017;06:00;61.203;980,75;2.335,25;231;46.406,5
06.06.2017;06:15;-;979,5;2.299,5;347,5;-
06.06.2017;06:30;-;979,25;2.266,25;497,25;-
06.06.2017;06:45;-;979;2.226,75;674,5;-
06.06.2017;07:00;67.037;978;2.193,25;866;49.669
06.06.2017;07:15;-;978,75;2.152;1.071,5;-
06.06.2017;07:30;-;978;2.184,75;1.289,75;-
06.06.2017;07:45;-;977,25;2.181,25;1.517,5;-
06.06.2017;08:00;74.911;975,5;2.198,25;1.754,25;53.514,75
06.06.2017;08:15;-;976;2.254;1.994,5;-
06.06.2017;08:30;-;975,25;2.275,5;2.234,5;-
06.06.2017;08:45;-;974;2.319,75;2.464,75;-
06.06.2017;09:00;80.198;968,75;2.349;2.684,5;54.547,75
06.06.2017;09:15;-;968,5;2.408,25;2.891,5;-
06.06.2017;09:30;-;967,5;2.502,75;3.083;-
06.06.2017;09:45;-;966;2.604,25;3.256,25;-
06.06.2017;10:00;84.385;937,5;2.889,25;3.409;54.017,25
06.06.2017;10:15;-;938,75;3.009;3.538,75;-
06.06.2017;10:30;-;939,5;3.130,75;3.647;-
06.06.2017;10:45;-;940,75;3.253,5;3.734;-
06.06.2017;11:00;87.424;942,25;3.374,5;3.802,75;53.950,25
06.06.2017;11:15;-;943,25;3.494,25;3.854,5;-
06.06.2017;11:30;-;944,5;3.617,5;3.896;-
06.06.2017;11:45;-;945,5;3.739;3.919,75;-
06.06.2017;12:00;89.043;945,75;3.855;3.930;53.473,25
06.06.2017;12:15;-;940,75;3.978,75;3.927;-
06.06.2017;12:30;-;935;4.106,75;3.913;-
06.06.2017;12:45;-;929,25;4.238,5;3.870;-
06.06.2017;13:00;89.516;924,5;4.352,75;3.806,5;53.114,25
06.06.2017;13:15;-;923,25;4.434,75;3.739,5;-
06.06.2017;13:30;-;922,5;4.518,75;3.664,25;-
06.06.2017;13:45;-;922,25;4.600,75;3.592;-
06.06.2017;14:00;88.388;920,5;4.663,5;3.509,25;52.530
06.06.2017;14:15;-;910,25;4.681,5;3.419,75;-
06.06.2017;14:30;-;900,5;4.697;3.327;-
06.06.2017;14:45;-;888,5;4.712,25;3.228;-
06.06.2017;15:00;86.404;880,5;4.720,25;3.121,75;52.280,25
06.06.2017;15:15;-;870,75;4.719,25;3.008;-
06.06.2017;15:30;-;861,5;4.715;2.892;-
06.06.2017;15:45;-;855,5;4.709,75;2.769,5;-
06.06.2017;16:00;84.106;851,75;4.715,5;2.645;51.981,75
06.06.2017;16:15;-;850;4.726;2.521;-
06.06.2017;16:30;-;846,75;4.735,5;2.391,25;-
06.06.2017;16:45;-;843,25;4.743,75;2.254,5;-
06.06.2017;17:00;82.018;844,75;4.758,5;2.107,5;52.064,25
06.06.2017;17:15;-;847;4.765,75;1.950,25;-
06.06.2017;17:30;-;849,5;4.776;1.789,75;-
06.06.2017;17:45;-;852,25;4.783,5;1.629;-
06.06.2017;18:00;79.284;859,75;4.777,5;1.466,25;51.913,75
06.06.2017;18:15;-;868,5;4.760;1.303,75;-
06.06.2017;18:30;-;876,25;4.738,75;1.138,75;-
06.06.2017;18:45;-;885,25;4.715,5;980;-
06.06.2017;19:00;75.889;895,5;4.700;827;51.067,25
06.06.2017;19:15;-;905;4.679,5;683;-
06.06.2017;19:30;-;913,75;4.660,75;554,75;-
06.06.2017;19:45;-;925;4.639,75;437,75;-
06.06.2017;20:00;71.803;935,75;4.623,5;314,5;48.855,75
06.06.2017;20:15;-;945,25;4.611,75;209,5;-
06.06.2017;20:30;-;954;4.601,25;126,25;-
06.06.2017;20:45;-;962,75;4.598,25;64,5;-
06.06.2017;21:00;70.435;970;4.591,25;26,5;48.047,5
06.06.2017;21:15;-;973,75;4.606,25;8,25;-
06.06.2017;21:30;-;982,75;4.610,5;1,5;-
06.06.2017;21:45;-;986,25;4.630,25;0,25;-
06.06.2017;22:00;69.299;989;4.653,5;0;46.477,75
06.06.2017;22:15;-;990,5;4.691;0;-
06.06.2017;22:30;-;986,25;4.741,25;0;-
06.06.2017;22:45;-;988,75;4.781;0;-
06.06.2017;23:00;67.468;989,75;4.820;0;44.048,5
06.06.2017;23:15;-;983,75;4.854,25;0;-
06.06.2017;23:30;-;977,5;4.892,25;0;-
06.06.2017;23:45;-;970,75;4.931,25;0;-
07.06.2017;00:00;62.507;946,25;4.716,5;0;39.535
07.06.2017;00:15;-;947,75;4.767;0;-
07.06.2017;00:30;-;951,5;4.818,75;0;-
07.06.2017;00:45;-;952,5;4.871,75;0;-
07.06.2017;01:00;59.556;957,75;4.922;0;35.718,75
07.06.2017;01:15;-;956,5;4.972,75;0;-
07.06.2017;01:30;-;957,75;5.027,25;0;-
07.06.2017;01:45;-;959,75;5.083,5;0;-
07.06.2017;02:00;58.254;960,5;4.813,75;0;34.634,25
