Date de production,Heures,Prévision de production des moyens programmables (MW),"Prévision de production des moyens dits ""fatals"" (MW)"
01/01/2019,00:00,57050,3344
01/01/2019,00:30,56361,3283
01/01/2019,01:00,55561,3135
01/01/2019,01:30,55499,3099
01/01/2019,02:00,54748,3000
01/01/2019,02:30,53786,2976
01/01/2019,03:00,52594,2937
01/01/2019,03:30,51688,2914
01/01/2019,04:00,49273,2899
01/01/2019,04:30,48494,2900
01/01/2019,05:00,48544,2730
01/01/2019,05:30,47689,2718
01/01/2019,06:00,47770,2706
01/01/2019,06:30,47837,2705
01/01/2019,07:00,48203,2927
01/01/2019,07:30,48303,2933
01/01/2019,08:00,48738,2922
01/01/2019,08:30,49544,2762
01/01/2019,09:00,50599,2894
01/01/2019,09:30,52011,2903
01/01/2019,10:00,52378,3029
01/01/2019,10:30,52277,3221
01/01/2019,11:00,53674,3202
01/01/2019,11:30,53861,3194
01/01/2019,12:00,53828,3165
01/01/2019,12:30,53829,3170
01/01/2019,13:00,53511,3057
01/01/2019,13:30,53314,3046
01/01/2019,14:00,53241,3030
01/01/2019,14:30,53238,3031
01/01/2019,15:00,53224,3014
01/01/2019,15:30,53210,2839
01/01/2019,16:00,53085,2873
01/01/2019,16:30,53204,2912
01/01/2019,17:00,54827,3238
01/01/2019,17:30,55095,3256
01/01/2019,18:00,58643,3512
01/01/2019,18:30,59980,3594
01/01/2019,19:00,60069,3662
01/01/2019,19:30,59635,3671
01/01/2019,20:00,58809,3514
01/01/2019,20:30,57864,3472
01/01/2019,21:00,57345,3297
01/01/2019,21:30,56427,3292
01/01/2019,22:00,56933,3198
01/01/2019,22:30,58029,3198
01/01/2019,23:00,57110,3142
01/01/2019,23:30,56816,3005
02/01/2019,00:00,56318,2833
02/01/2019,00:30,55404,2656
02/01/2019,01:00,54942,2537
02/01/2019,01:30,54849,2523
02/01/2019,02:00,54039,2499
02/01/2019,02:30,53731,2469
02/01/2019,03:00,52895,2469
02/01/2019,03:30,52352,2463
02/01/2019,04:00,52212,2459
02/01/2019,04:30,52254,2461
02/01/2019,05:00,53728,2465
02/01/2019,05:30,54310,2471
02/01/2019,06:00,56336,2573
02/01/2019,06:30,57530,2758
