STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
      13711;2016120101;   10;   4.3; 250;eor
      13711;2016120102;   10;   4.2; 240;eor
      13711;2016120103;   10;   4.2; 240;eor
      13711;2016120104;   10;   4.2; 240;eor
      13711;2016120105;   10;   4.7; 240;eor
      13711;2016120106;   10;   5.6; 250;eor
      13711;2016120107;   10;   5.4; 240;eor
      13711;2016120108;   10;   4.9; 240;eor
      13711;2016120109;   10;   5.1; 230;eor
      13711;2016120110;   10;   5.2; 240;eor
      13711;2016120111;   10;   4.8; 240;eor
      13711;2016120112;   10;   4.8; 240;eor
      13711;2016120113;   10;   5.8; 240;eor
      13711;2016120114;   10;   5.2; 250;eor
      13711;2016120115;   10;   5.0; 240;eor
      13711;2016120116;   10;   4.0; 250;eor
      13711;2016120117;   10;   4.7; 240;eor
      13711;2016120118;   10;   5.2; 250;eor
      13711;2016120119;   10;   5.4; 250;eor
      13711;2016120120;   10;   6.1; 250;eor
      13711;2016120121;   10;   5.7; 260;eor
      13711;2016120122;   10;   6.5; 260;eor
      13711;2016120123;   10;   5.7; 260;eor
      13711;2016120200;   10;   6.1; 260;eor
      13711;2016120201;   10;   6.8; 260;eor
      13711;2016120202;   10;   5.6; 260;eor
      13711;2016120203;   10;   5.9; 260;eor
      13711;2016120204;   10;   5.2; 260;eor
      13711;2016120205;   10;   5.6; 260;eor
      13711;2016120206;   10;   6.0; 270;eor
      13711;2016120207;   10;   4.4; 270;eor
      13711;2016120208;   10;   5.3; 350;eor
      13711;2016120209;   10;   3.1; 360;eor
      13711;2016120210;   10;   2.7; 340;eor
      13711;2016120211;   10;   2.1; 340;eor
      13711;2016120212;   10;   2.6; 350;eor
      13711;2016120213;   10;   3.2; 360;eor
      13711;2016120214;   10;   2.7; 340;eor
      13711;2016120215;   10;   1.9; 310;eor
      13711;2016120216;   10;   2.0; 300;eor
      13711;2016120217;   10;   1.8; 300;eor
      13711;2016120218;   10;   1.7; 260;eor
      13711;2016120219;   10;   2.7; 260;eor
      13711;2016120220;   10;   1.2; 240;eor
      13711;2016120221;   10;   2.2; 250;eor
      13711;2016120222;   10;   1.7; 240;eor
      13711;2016120223;   10;   1.1; 250;eor
      13711;2016120300;   10;   1.6; 250;eor
      13711;2016120301;   10;   2.0; 240;eor
      13711;2016120302;   10;   1.2; 240;eor
      13711;2016120303;   10;   2.2; 240;eor
      13711;2016120304;   10;   1.8; 250;eor
      13711;2016120305;   10;   0.9; 260;eor
      13711;2016120306;   10;   2.0; 250;eor
      13711;2016120307;   10;   1.5; 250;eor
      13711;2016120308;   10;   0.7; 250;eor
      13711;2016120309;   10;   1.2; 210;eor
      13711;2016120310;   10;   1.1; 200;eor
      13711;2016120311;   10;   0.9; 170;eor
      13711;2016120312;   10;   0.7; 140;eor
      13711;2016120313;   10;   1.0; 130;eor
      13711;2016120314;   10;   1.0;  50;eor
      13711;2016120315;   10;   1.2;  50;eor
      13711;2016120316;   10;   0.9;  20;eor
      13711;2016120317;   10;   0.5; 350;eor
      13711;2016120318;   10;   0.4; 260;eor
      13711;2016120319;   10;   0.4;   0;eor
      13711;2016120320;   10;   0.5; 230;eor
      13711;2016120321;   10;   0.4;  10;eor
      13711;2016120322;   10;   0.6; 250;eor
