STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
        400;1991010100;   10;   2.0; 120;eor
        400;1991010103;   10;   2.0; 240;eor
        400;1991010106;   10;   3.0; 250;eor
        400;1991010109;   10;   3.0; 270;eor
        400;1991010112;   10;   4.0; 260;eor
        400;1991010115;   10;   3.0; 230;eor
        400;1991010118;   10;   5.0; 220;eor
        400;1991010121;   10;   3.0; 220;eor
        400;1991010200;   10;   2.0; 180;eor
        400;1991010203;   10;   3.0; 180;eor
        400;1991010206;   10;   4.0; 170;eor
        400;1991010209;   10;   5.0; 170;eor
        400;1991010212;   10;   5.0; 200;eor
        400;1991010215;   10;   5.0; 200;eor
        400;1991010218;   10;   5.0; 200;eor
        400;1991010221;   10;   3.0; 190;eor
        400;1991010300;   10;   5.0; 210;eor
        400;1991010303;   10;   3.0; 250;eor
        400;1991010306;   10;   4.0; 230;eor
        400;1991010309;   10;   4.0; 220;eor
        400;1991010312;   10;   4.0; 220;eor
        400;1991010315;   10;   3.0; 220;eor
        400;1991010318;   10;   2.0; 190;eor
        400;1991010321;   10;   1.0; 210;eor
        400;1991010400;   10;   2.0; 130;eor
        400;1991010403;   10;   3.0; 150;eor
        400;1991010406;   10;   3.0; 210;eor
        400;1991010409;   10;   4.0; 220;eor
        400;1991010412;   10;   3.0; 220;eor
        400;1991010415;   10;   3.0; 220;eor
        400;1991010418;   10;   4.0; 220;eor
        400;1991010421;   10;   4.0; 220;eor
        400;1991010500;   10;   5.0; 220;eor
        400;1991010503;   10;   5.0; 220;eor
        400;1991010506;   10;   4.0; 220;eor
        400;1991010509;   10;   4.0; 210;eor
        400;1991010512;   10;   4.0; 220;eor
        400;1991010515;   10;   4.0; 190;eor
        400;1991010518;   10;   5.0; 180;eor
        400;1991010521;   10;   4.0; 160;eor
        400;1991010600;   10;   4.0; 170;eor
        400;1991010603;   10;   5.0; 190;eor
        400;1991010606;   10;   4.0; 210;eor
        400;1991010609;   10;   5.0; 200;eor
        400;1991010612;   10;   6.0; 210;eor
        400;1991010615;   10;   9.0; 220;eor
        400;1991010618;   10;   8.0; 220;eor
        400;1991010621;   10;   6.0; 220;eor
        400;1991010700;   10;   4.0; 220;eor
        400;1991010703;   10;   3.0; 210;eor
        400;1991010706;   10;   4.0; 200;eor
        400;1991010709;   10;   3.0; 200;eor
        400;1991010712;   10;   3.0; 210;eor
        400;1991010715;   10;   3.0; 210;eor
        400;1991010718;   10;   4.0; 210;eor
        400;1991010721;   10;   4.0; 240;eor
        400;1991010800;   10;   3.0; 220;eor
        400;1991010803;   10;   3.0; 180;eor
        400;1991010806;   10;   4.0; 200;eor
        400;1991010809;   10;   5.0; 190;eor
        400;1991010812;   10;   5.0; 190;eor
        400;1991010815;   10;   3.0; 250;eor
        400;1991010818;   10;   3.0; 220;eor
        400;1991010821;   10;   2.0; 170;eor
        400;1991010900;   10;   4.0; 180;eor
        400;1991010903;   10;   6.0; 190;eor
        400;1991010906;   10;   7.0; 190;eor
        400;1991010909;   10;   7.0; 260;eor
        400;1991010912;   10;   6.0; 220;eor
        400;1991010915;   10;   3.0; 180;eor
        400;1991010918;   10;   5.0; 190;eor
        400;1991010921;   10;   7.0; 220;eor
        400;1991011000;   10;   4.0; 190;eor
        400;1991011003;   10;   5.0; 170;eor
        400;1991011006;   10;   5.0; 180;eor
