STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       2115;20180106;   10;  14.1;   7.1;    3;   0.0;   0;    0.050;-999;   7.3;   6.9; 1008.26;    4.2;   82.58;    6.3;    1.9;    0.3;eor
       2115;20180107;   10;  13.2;   8.3;    3;   0.0;   0;    6.133;-999;   2.2;   5.0; 1030.63;    2.0;   70.79;    2.5;    1.4;   -0.8;eor
       2115;20180108;   10;  20.9;  12.3;    3;   0.0;   0;    6.400;-999;   1.2;   4.0; 1031.51;    2.4;   54.42;    2.9;    2.0;   -0.3;eor
       2115;20180109;   10;  22.2;  14.5;    3;   0.2;   6;    2.283;-999;   5.2;   4.9; 1015.09;    3.0;   63.92;    3.9;    2.3;    0.8;eor
       2115;20180110;   10;  12.2;   7.5;    3;   0.1;   4;    0.133;-999;   7.8;   7.9; 1009.61;    4.8;   91.38;    5.6;    3.4;    2.9;eor
       2115;20180111;   10;   9.2;   5.5;    3;   3.3;   6;    0.650;-999;   7.0;   7.8; 1017.90;    4.4;   92.83;    5.1;    3.1;    2.4;eor
       2115;20180112;   10;  13.7;   9.5;    3;   0.0;   6;    0.000;-999;   7.6;   7.0; 1027.21;    3.2;   90.79;    4.0;    2.5;    2.5;eor
       2115;20180113;   10;  16.0;  11.8;    3;   0.0;   0;    0.000;-999;   7.8;   6.6; 1028.07;    2.6;   89.71;    3.3;    1.2;    1.0;eor
       2115;20180114;   10;  18.5;  12.8;    3;   0.0;   0;    0.533;-999;   5.2;   5.1; 1023.84;    1.3;   75.63;    2.2;    0.4;    0.1;eor
       2115;20180115;   10;  19.9;  14.5;    3;   6.4;   8;    0.000;-999;   6.9;   6.9; 1000.75;    3.7;   86.33;    6.5;    1.6;    0.6;eor
       2115;20180116;   10;  20.3;  10.7;    3;   5.2;   8;    0.567;-999;   6.7;   7.0;  984.83;    5.2;   79.17;    6.6;    2.8;    1.2;eor
       2115;20180117;   10;  18.4;   9.9;    3;   1.2;   4;    1.183;-999;   6.7;   6.4;  991.22;    4.3;   77.75;    5.9;    1.6;   -0.1;eor
       2115;20180118;   10;  19.4;  10.4;    3;  15.0;   4;    0.000;-999;   7.3;   6.7;  990.94;    3.3;   86.54;    5.8;    1.0;    0.1;eor
       2115;20180119;   10;  14.9;   7.2;    3;  10.5;   4;    0.300;-999;   6.2;   6.7; 1001.88;    4.1;   82.04;    5.3;    1.8;    0.7;eor
       2115;20180120;   10;  13.5;   8.5;    3;   4.3;   4;    0.017;-999;   7.5;   6.7; 1001.49;    3.1;   88.13;    3.8;    1.5;    1.0;eor
       2115;20180121;   10;  12.7;   5.8;    3;   0.5;   4;    0.000;-999;   6.8;   6.7; 1010.49;    2.5;   91.17;    3.6;    1.5;   -0.2;eor
       2115;20180122;   10;  16.6;   7.9;    3;   0.9;   4;    0.000;-999;   7.6;   7.1; 1007.18;    3.1;   92.13;    6.1;    1.8;    1.6;eor
       2115;20180123;   10;  16.9;   8.7;    3;   4.1;   4;    0.000;-999;   7.9;   8.9; 1014.19;    6.2;   93.21;    7.8;    5.3;    4.9;eor
       2115;20180124;   10;  17.6;  11.5;    3;   7.2;   4;    0.050;-999;   7.5;  10.0; 1006.28;    7.9;   93.79;    9.8;    6.1;    5.8;eor
       2115;20180125;   10;  16.5;   8.8;    3;   0.0;   0;    0.000;-999;   7.8;   8.8; 1008.16;    6.6;   90.29;    7.1;    6.2;    5.1;eor
