STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       5371;20180106;   10;  14.4;   5.3;    3;   8.8;   8;    0.033;   0;   8.0;   7.1;  900.80;    2.6;   96.92;    4.1;    0.8;    0.6;eor
       5371;20180107;   10;  16.6;   8.3;    3;   0.0;   8;    0.000;   1;   7.9;   5.5;  911.54;   -1.0;   96.63;    0.8;   -1.9;   -1.8;eor
       5371;20180108;   10;  24.5;  13.9;    3;   0.0;   0;    0.750;   1;   7.8;   5.9;  913.48;   -0.2;   97.13;    1.1;   -1.4;   -1.4;eor
       5371;20180109;   10;  26.7;  10.7;    3;   1.1;   6;    1.550;   1;   5.5;   6.4;  905.68;    1.7;   92.08;    4.5;    0.4;   -0.4;eor
       5371;20180110;   10;  15.2;   7.4;    3;   1.1;   8;    4.300;   0;   6.8;   6.5;  904.26;    2.1;   91.13;    4.7;    1.0;   -0.5;eor
       5371;20180111;   10;   9.4;   3.6;    3;   0.0;   6;    0.283;   0;   6.9;   6.2;  907.67;    1.3;   92.17;    3.1;    0.3;   -1.1;eor
       5371;20180112;   10;  10.4;   3.5;    3;   0.0;   7;    0.000;   0;   8.0;   6.3;  915.10;    0.8;   97.04;    1.2;   -0.2;   -0.2;eor
       5371;20180113;   10;  14.4;   7.7;    3;   0.0;   7;    0.650;   0;   6.9;   5.1;  915.17;   -1.7;   93.83;   -0.2;   -5.0;   -4.7;eor
       5371;20180114;   10;  18.4;  10.2;    3;   0.0;   7;    1.617;   0;   5.5;   3.8;  912.01;   -4.6;   88.21;   -1.8;   -5.9;   -6.9;eor
       5371;20180115;   10;  24.9;  12.2;    3;   8.7;   8;    0.000;   0;   7.0;   4.7;  902.79;   -3.1;   94.75;   -0.4;   -5.6;   -6.6;eor
       5371;20180116;   10;  21.5;  10.7;    3;  13.2;   8;    0.000;   5;   8.0;   5.5;  887.50;   -1.0;   97.00;    0.9;   -3.0;   -3.0;eor
       5371;20180117;   10;  21.3;   8.5;    3;  11.0;   7;    0.000;  17;   8.0;   4.5;  891.79;   -3.3;   94.63;   -2.2;   -4.2;   -4.2;eor
       5371;20180118;   10;  36.8;  13.0;    3;  12.1;   8;    0.983;  26;   7.5;   5.1;  892.11;   -1.2;   90.88;    1.8;   -3.3;   -3.3;eor
       5371;20180119;   10;  16.0;   6.7;    3;   6.0;   7;    0.000;  26;   7.7;   4.8;  898.56;   -2.6;   95.17;   -1.9;   -4.2;   -5.2;eor
       5371;20180120;   10;  13.4;   7.3;    3;   5.4;   7;    0.000;  30;   8.0;   4.7;  896.52;   -2.9;   95.00;   -2.3;   -3.4;   -3.4;eor
       5371;20180121;   10;  16.6;   5.6;    3;   2.5;   7;    0.000;  34;   8.0;   4.5;  902.15;   -3.2;   94.21;   -2.6;   -4.1;   -5.0;eor
       5371;20180122;   10;  18.7;   8.6;    3;   0.8;   8;    0.000;  34;   8.0;   5.2;  901.69;   -1.7;   95.46;    0.2;   -4.2;   -4.1;eor
       5371;20180123;   10;  18.3;   7.8;    3;   0.6;   6;    0.000;  30;   7.9;   6.1;  912.96;    0.4;   97.21;    1.9;   -0.3;   -0.3;eor
       5371;20180124;   10;  19.9;  11.6;    3;   0.5;   6;    0.000;  25;   7.9;   7.7;  911.45;    3.4;   97.92;    4.8;    1.7;    1.5;eor
       5371;20180125;   10;  20.1;  10.4;    3;   4.9;   6;    0.000;  16;   7.9;   7.7;  906.60;    3.8;   96.21;    4.3;    3.3;    2.6;eor
       5371;20180126;   10;  10.2;   4.2;    3;   0.6;   8;    0.000;  10;   8.0;   6.6;  909.43;    1.7;   95.96;    3.9;    0.8;    0.3;eor
       5371;20180127;   10;  17.1;   5.3;    3;   1.5;   8;    5.817;   9;   5.3;   6.0;  919.80;    0.8;   92.63;    3.7;   -0.6;   -2.3;eor
       5371;20180128;   10;  19.7;  11.2;    3;   2.8;   6;    0.000;   7;   8.0;   6.4;  920.76;    0.9;   97.67;    2.6;   -0.3;   -0.3;eor
       5371;20180129;   10;  20.4;  11.6;    3;   1.4;   6;    0.000;   0;   8.0;   7.3;  917.11;    2.8;   98.04;    3.1;    1.7;    1.6;eor
       5371;20180130;   10;  15.5;   6.0;    3;   0.5;   6;    2.083;   0;   6.9;   5.4;  917.32;   -0.8;   93.08;    1.7;   -2.3;   -2.7;eor
       5371;20180131;   10;  22.8;  12.1;    3;  17.7;   8;    0.000;   0;   8.0;   6.7;  901.95;    1.7;   97.21;    2.9;    0.0;    0.0;eor
       5371;20180201;   10;  13.3;   7.6;    3;   2.7;   7;    1.150;   4;   7.7;   4.9;  893.70;   -2.4;   94.67;    0.0;   -3.6;   -4.0;eor
       5371;20180202;   10;  14.7;   8.2;    3;   2.1;   7;    0.000;   6;   8.0;   4.7;  895.58;   -2.9;   95.04;   -1.9;   -3.9;   -3.8;eor
       5371;20180203;   10;   8.9;   4.3;    3;   3.9;   7;    1.650;   7;   6.8;   4.3;  897.13;   -3.9;   93.17;   -1.9;   -6.2;   -8.1;eor
       5371;20180204;   10;  11.2;   5.4;    3;   2.7;   7;    0.067;  11;   7.7;   3.9;  905.18;   -5.2;   92.71;   -3.7;   -7.0;   -8.1;eor
       5371;20180205;   10;  15.0;   7.5;    3;   0.0;   0;    5.950;  15;   4.7;   3.2;  912.53;   -7.0;   88.63;   -4.7;   -8.7;  -10.2;eor
       5371;20180206;   10;  13.5;   6.9;    3;   0.0;   7;    0.817;  14;   6.3;   3.3;  904.18;   -6.2;   85.29;   -3.5;   -8.8;  -10.1;eor
       5371;20180207;   10;   8.4;   3.7;    3;   0.0;   0;    6.917;  13;   3.4;   3.5;  903.49;   -3.5;   74.33;    0.9;   -6.3;  -10.7;eor
       5371;20180208;   10;   4.9;   2.3;    3;   0.0;   0;    7.100;  12;   2.8;   3.2;  907.62;   -5.6;   78.71;   -0.5;   -9.0;  -13.0;eor
       5371;20180209;   10;  12.7;   6.9;    3;   0.0;   7;    0.000;  11;   6.4;   3.5;  905.29;   -6.2;   90.29;   -4.8;   -9.5;  -13.2;eor
       5371;20180210;   10;  11.2;   6.0;    3;   0.3;   7;    0.450;  11;   7.8;   4.2;  905.34;   -4.2;   94.13;   -2.6;   -6.6;   -7.5;eor
       5371;20180211;   10;  20.3;  10.7;    3;   3.8;   8;    0.000;  11;   7.9;   4.5;  896.97;   -3.4;   94.54;   -2.1;   -4.9;   -5.3;eor
       5371;20180212;   10;  12.9;   5.6;    3;   0.9;   7;    0.317;  15;   7.8;   4.2;  902.44;   -4.1;   93.92;   -3.0;   -5.6;   -6.4;eor
       5371;20180213;   10;  14.4;   6.1;    3;   0.0;   0;    6.767;  16;   3.8;   3.4;  905.06;   -5.7;   85.83;   -2.8;   -7.3;  -10.3;eor
