STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       2667;20180106;   10;   6.2;   2.0;    3;   0.2;   6;    0.000;   0;   7.2;   7.7;  996.44;    4.8;   89.54;    6.8;    0.8;   -0.2;eor
       2667;20180107;   10;  10.8;   4.2;    3;   0.0;   0;    0.000;   0;   7.6;   6.8; 1010.05;    5.1;   77.38;    6.4;    4.2;    3.5;eor
       2667;20180108;   10;  11.1;   5.0;    3;   0.0;   0;    0.000;   0;   7.1;   6.7; 1010.36;    4.5;   79.04;    6.1;    3.3;    1.0;eor
       2667;20180109;   10;   9.9;   4.4;    3;   0.2;   6;    0.267;   0;   6.5;   7.4; 1000.09;    5.6;   80.96;    7.3;    4.0;    1.3;eor
       2667;20180110;   10;   7.9;   3.6;    3;   0.1;   6;    0.967;   0;   7.2;   8.5;  998.25;    7.7;   81.08;    9.5;    6.3;    5.4;eor
       2667;20180111;   10;   3.6;   1.7;    3;   0.0;   6;    0.117;   0;   7.2;   8.9; 1004.54;    6.9;   89.67;    9.6;    5.3;    3.2;eor
       2667;20180112;   10;   3.6;   1.6;    3;   0.0;   6;    0.000;   0;   8.0;   8.4; 1013.60;    5.2;   94.96;    5.7;    4.1;    3.3;eor
       2667;20180113;   10;  11.3;   4.4;    3;   0.0;   0;    0.150;   0;   7.4;   6.8; 1012.75;    5.3;   76.67;    6.5;    3.8;    3.0;eor
       2667;20180114;   10;  13.0;   5.2;    3;   0.0;   0;    4.217;   0;   3.9;   5.5; 1009.22;    3.0;   72.67;    4.7;    1.2;   -0.6;eor
       2667;20180115;   10;  16.3;   5.4;    3;   4.5;   6;    0.167;   0;   7.0;   6.7;  995.90;    4.4;   78.75;    7.3;    1.4;    0.1;eor
       2667;20180116;   10;  19.5;   4.6;    3;   7.0;   8;    0.667;   0;   6.8;   7.3;  982.97;    4.5;   86.33;    7.2;    1.2;    0.1;eor
       2667;20180117;   10;  21.3;   5.6;    3;   1.9;   8;    0.467;   1;   6.8;   6.2;  989.97;    2.8;   82.71;    4.7;   -0.1;   -0.1;eor
       2667;20180118;   10;  31.9;   6.8;    3;   2.0;   6;    2.517;   0;   6.5;   6.7;  988.45;    5.6;   74.42;   11.3;    1.8;   -0.3;eor
       2667;20180119;   10;  12.9;   4.4;    3;   0.1;   6;    1.200;   0;   6.5;   6.4;  996.49;    3.5;   81.75;    6.0;   -0.1;   -1.5;eor
       2667;20180120;   10;   6.7;   2.9;    3;   4.8;   6;    0.033;   0;   7.4;   6.4;  992.86;    2.2;   89.21;    4.2;    0.5;   -1.2;eor
       2667;20180121;   10;   9.8;   3.5;    3;   2.9;   6;    0.850;   0;   7.3;   6.5; 1001.40;    2.5;   88.92;    4.8;    0.9;   -0.1;eor
       2667;20180122;   10;   8.7;   3.8;    3;   1.3;   6;    0.000;   0;   7.7;   8.1;  998.48;    5.3;   90.50;    8.6;    1.1;    0.7;eor
       2667;20180123;   10;   8.7;   3.8;    3;   0.0;   6;    0.533;   0;   7.5;   8.4; 1009.80;    7.5;   80.67;    9.8;    5.4;    4.3;eor
       2667;20180124;   10;  13.9;   5.6;    3;   4.4;   6;    0.133;   0;   7.0;  10.5; 1005.09;   11.7;   75.92;   13.9;    8.8;    7.9;eor
       2667;20180125;   10;   9.8;   2.7;    3;   5.2;   6;    0.000;   0;   8.0;  10.1; 1001.37;    8.2;   93.17;   11.9;    5.7;    5.4;eor
       2667;20180126;   10;   3.1;   1.3;    3;   0.0;   6;    0.000;   0;   7.4;   8.8; 1007.00;    6.2;   92.67;    8.9;    1.5;    0.0;eor
       2667;20180127;   10;   8.2;   3.1;    3;   1.1;   6;    5.283;   0;   6.6;   7.5; 1018.07;    4.5;   89.13;    8.5;    1.0;   -0.4;eor
       2667;20180128;   10;   9.8;   3.6;    3;   0.5;   6;    0.050;   0;   7.6;   9.2; 1019.10;    8.1;   85.33;   10.8;    4.1;    3.9;eor
       2667;20180129;   10;  15.3;   5.5;    3;   1.3;   6;    0.000;   0;   7.7;   9.4; 1015.68;    9.7;   78.58;   10.8;    4.8;    2.9;eor
       2667;20180130;   10;   6.3;   2.2;    3;   0.6;   6;    6.183;   0;   5.1;   7.2; 1016.00;    4.8;   84.04;    8.2;    1.5;   -1.4;eor
       2667;20180131;   10;  21.9;   5.3;    3;   8.6;   6;    0.000;   0;   7.7;   8.8;  996.63;    7.4;   84.29;   10.1;    3.1;    2.1;eor
       2667;20180201;   10;  12.7;   4.3;    3;   1.7;   8;    2.550;   0;   4.5;   6.0;  989.95;    2.9;   80.25;    5.7;   -0.6;   -2.0;eor
       2667;20180202;   10;  11.8;   3.8;    3;   1.1;   6;    0.000;   0;   7.7;   6.9;  992.20;    3.3;   88.42;    5.3;    1.2;   -0.2;eor
       2667;20180203;   10;   5.1;   2.2;    3;   1.1;   8;    0.183;   0;   7.3;   6.7;  995.44;    2.6;   90.88;    5.0;    1.3;    0.7;eor
       2667;20180204;   10;   8.7;   3.5;    3;   0.0;   7;    0.733;   0;   7.1;   4.7; 1006.23;    0.3;   75.54;    2.7;   -1.3;   -3.2;eor
       2667;20180205;   10;  10.8;   4.0;    3;   0.0;   0;    7.883;   0;   2.4;   4.1; 1012.36;    0.1;   67.88;    4.3;   -2.8;   -5.0;eor
       2667;20180206;   10;   5.7;   2.5;    3;   3.9;   7;    0.117;   0;   6.4;   4.6; 1002.81;   -1.1;   80.79;    0.9;   -2.6;   -4.2;eor
       2667;20180207;   10;   5.7;   2.2;    3;   0.0;   0;    0.000;   4;   5.3;   5.1; 1003.82;   -1.0;   90.25;    1.5;   -4.6;   -7.1;eor
       2667;20180208;   10;   3.6;   1.3;    3;   0.0;   0;    7.517;   0;   2.1;   3.8; 1008.44;   -3.4;   81.29;    1.1;   -7.7;   -9.6;eor
       2667;20180209;   10;   9.1;   3.4;    3;   0.1;   7;    3.933;   0;   4.0;   4.3; 1003.56;   -1.9;   80.17;    1.6;   -5.7;   -7.4;eor
       2667;20180210;   10;   8.7;   3.0;    3;   2.8;   8;    0.000;   0;   7.4;   5.9; 1003.20;    1.6;   86.17;    3.5;    0.1;   -1.2;eor
