STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        880;20180106;   10;   4.8;   1.6;    3;   2.6;   6;    4.183;   0;   8.0;   7.7; 1000.53;    5.5;   85.29;    9.5;    2.7;   -0.7;eor
        880;20180107;   10;   8.3;   3.2;    3;   1.1;   6;    0.000;   0;   6.8;   6.2; 1018.11;    2.1;   86.46;    4.6;   -0.9;   -2.1;eor
        880;20180108;   10;  10.8;   4.0;    3;   0.0;   0;    6.083;   0;   3.5;   4.1; 1023.76;   -1.3;   73.63;    1.8;   -2.7;   -4.1;eor
        880;20180109;   10;  13.1;   4.6;    3;   1.0;   6;    4.033;   0;   6.1;   4.8; 1011.86;    1.6;   68.75;    5.3;   -2.4;   -3.5;eor
        880;20180110;   10;   5.5;   1.3;    3;   0.8;   6;    0.000;   0;   8.0;   7.2; 1005.07;    2.7;   96.75;    6.2;   -0.5;   -2.2;eor
        880;20180111;   10;   4.6;   0.9;    3;   1.9;   6;    0.000;   0;   7.9;   7.3; 1008.35;    2.8;   97.13;    3.8;    1.3;    0.3;eor
        880;20180112;   10;   8.3;   3.0;    3;   0.0;   6;    0.000;   0;   8.0;   6.6; 1018.98;    1.8;   95.46;    3.0;    0.7;    0.6;eor
        880;20180113;   10;  11.5;   4.3;    3;   0.0;   0;    0.000;   0;   7.4;   4.6; 1022.81;    0.3;   73.83;    0.8;   -1.2;   -2.7;eor
        880;20180114;   10;  10.3;   3.6;    3;   0.0;   0;    4.600;   0;   2.7;   4.0; 1020.52;   -1.7;   73.63;    0.6;   -4.2;   -5.9;eor
        880;20180115;   10;  13.7;   4.4;    3;   0.8;   8;    6.533;   0;  -999;   4.2; 1008.58;   -0.6;   71.50;    3.1;   -4.2;   -6.1;eor
        880;20180116;   10;  14.0;   4.9;    3;   3.8;   8;    2.083;   0;   7.3;   6.0;  985.04;    2.3;   82.46;    5.4;   -0.1;   -0.1;eor
