STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       1262;20180106;   10;   6.7;   2.1;    3;   0.0;   0;    6.717;   0;   6.0;   8.5;  955.85;    6.2;   90.00;   10.0;    2.5;   -0.1;eor
       1262;20180107;   10;   9.9;   3.3;    3;   0.0;   0;    0.000;   0;   8.0;   7.5;  964.85;    3.5;   95.33;    6.7;    1.0;    1.3;eor
       1262;20180108;   10;  12.9;   6.5;    3;   0.0;   0;    0.000;   0;   8.0;   7.7;  968.15;    5.1;   87.75;    6.2;    3.8;    3.8;eor
       1262;20180109;   10;  11.7;   3.9;    3;   0.0;   0;    3.400;   0;   6.2;   7.1;  961.20;    5.4;   80.25;   12.5;   -1.2;   -2.6;eor
       1262;20180110;   10;   4.6;   1.7;    3;   0.0;   0;    6.383;   0;   6.0;   6.8;  960.41;    2.9;   90.29;    8.5;   -0.9;   -3.1;eor
       1262;20180111;   10;   4.8;   1.8;    3;   0.0;   6;    0.000;   0;   8.0;   6.7;  963.15;    1.8;   95.83;    3.5;    0.0;    0.3;eor
       1262;20180112;   10;   5.1;   1.8;    3;   0.0;   6;    0.950;   0;   7.8;   6.4;  970.87;    2.8;   85.88;    4.4;    1.9;    1.8;eor
       1262;20180113;   10;   9.3;   4.2;    3;   0.0;   8;    0.000;   0;   8.0;   6.0;  970.63;    1.7;   87.04;    2.9;   -0.2;   -0.3;eor
       1262;20180114;   10;   6.7;   2.3;    3;   0.0;   8;    0.017;   0;   8.0;   5.4;  968.25;    0.1;   87.96;    1.4;   -0.6;   -0.9;eor
       1262;20180115;   10;   9.9;   2.3;    3;   1.2;   8;    2.817;   0;   7.0;   5.4;  963.75;    0.3;   86.29;    4.1;   -2.8;   -4.5;eor
       1262;20180116;   10;  24.0;   7.8;    3;   8.9;   8;    0.767;   0;   7.5;   6.8;  948.14;    4.9;   78.92;    8.8;    0.6;    0.1;eor
       1262;20180117;   10;  19.9;   8.0;    3;   2.6;   8;    1.850;   0;   7.1;   5.7;  951.28;    1.5;   82.67;    3.6;   -0.2;   -1.2;eor
       1262;20180118;   10;  27.6;  11.3;    3;   4.0;   8;    1.783;   0;   7.4;   6.5;  953.66;    4.3;   78.67;    8.9;    0.0;   -0.6;eor
       1262;20180119;   10;  18.3;   6.0;    3;   1.8;   8;    4.183;   0;   6.5;   6.0;  957.04;    3.0;   79.42;    5.7;   -0.5;   -2.4;eor
       1262;20180120;   10;  16.5;   4.9;    3;   5.6;   8;    1.100;   0;   7.6;   5.9;  954.99;    1.5;   86.17;    3.5;    0.0;   -0.3;eor
       1262;20180121;   10;  14.4;   4.7;    3;   2.5;   8;    0.717;   0;   6.6;   5.4;  958.74;    0.2;   86.71;    1.7;   -4.6;   -6.5;eor
       1262;20180122;   10;   5.5;   2.2;    3;   7.1;   8;    0.000;   4;   8.0;   6.2;  959.56;    0.7;   94.33;    4.8;   -3.4;   -3.9;eor
       1262;20180123;   10;   8.2;   3.4;    3;   0.0;   6;    0.000;   0;   7.7;   6.8;  971.88;    3.8;   85.00;    5.5;    0.1;   -2.8;eor
       1262;20180124;   10;   5.5;   2.0;    3;   0.0;   0;    6.467;   0;   6.9;   6.6;  971.17;    5.2;   75.38;   11.8;   -1.8;   -3.4;eor
